PK,NOMBRE,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,TIPO,Column
7381184,Centro Comercial y Palacio de Hielo Dreams," Metro: Canillas (línea 4)  Bus: 120, 122, 153 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c599006aee194410VgnVCM1000000b205a0aRCRD,SILVANO,CALLE,77,MADRID,MADRID,28043,CANILLAS,HORTALEZA,446212,4479540,40.46291274127404,-3.635733711568097,902 202 930,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje, 
17302,Cine Acteón," Metro: Sol (líneas 1, 3, 5), Gran Vía (líneas 1, 5)  Bus: 1, 2, 3, 5, 15, 20, 46, 51, 74, 146, 150, 202,  M1 ,  M2  ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b6fb3d232e91f010VgnVCM1000000b205a0aRCRD,MONTERA,CALLE,31,MADRID,MADRID,28013,SOL,CENTRO,440524,4474679,40.41873428725416,-3.702363924778316,915 222 281,/contenido/entidadesYorganismos/CinesFilmotecas, 
55827,Cine Artesiete Alcalá Full HD," Metro: Ciudad Lineal  (línea 5)  Bus: 4, 38, 48, 70, 77, 104, 105, 109, 113 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f14c3d232e91f010VgnVCM1000000b205a0aRCRD,ALCALA,CALLE,414,MADRID,MADRID,28027,PUEBLO NUEVO,CIUDAD LINEAL,445953,4476717,40.437446906533594,-3.638523962349189,"913 678 768    
",/contenido/entidadesYorganismos/CinesFilmotecas, 
6647175,Cine Artistic Metropol," Metro: Acacias (línea 5), Embajadores (línea 3)  Bus:  34, 36, 41, 60,  116, 118, 119, 148, C2, ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b69b2f335181b310VgnVCM1000000b205a0aRCRD,CIGARRERAS,CALLE,6,MADRID,MADRID,28005,ACACIAS,ARGANZUELA,440082,4473142,40.404856499695455,-3.70742856791561,,/contenido/entidadesYorganismos/CinesFilmotecas, 
17319,Cine Callao," Metro: Callao (línea 3)  Bus: 1, 2, 44, 46, 74, 75, 146, 147, 148, 133, 202 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=142255004e91f010VgnVCM2000000c205a0aRCRD,CALLAO,PLAZA,3,MADRID,MADRID,28013,SOL,CENTRO,440260,4474823,40.42001256069903,-3.7054891255917886,915 225 801,/contenido/entidadesYorganismos/CinesFilmotecas, 
17321,Cine Cinesa Capitol," Metro: Callao (líneas 3, 5), Santo Domingo (línea 2)  Bus: 1, 2, 44, 46, 74, 75, 133, 146, 147, 148, 202 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6dac3d232e91f010VgnVCM1000000b205a0aRCRD,GRAN VIA,CALLE,41,MADRID,MADRID,28013,PALACIO,CENTRO,440167,4474871,40.42043827261684,-3.7065898195198486,902 333 231,/contenido/entidadesYorganismos/CinesFilmotecas, 
17304,Cine Cinesa La Gavia," Metro: Plaza de España (líneas 3, 10), Ventura Rodríguez (línea 3)  Bus: 1, 2, 44, 133, 138, 148, 202,  C1  ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=390c3d232e91f010VgnVCM1000000b205a0aRCRD,ADOLFO BIOY CASARES,CALLE,2,MADRID,MADRID,28051,CASCO H.VALLECAS,VILLA DE VALLECAS,449381,4468949,40.367701522967664,-3.597512351069017,"902 333 231  
",/contenido/entidadesYorganismos/CinesFilmotecas, 
68001,Cine Cinesa Las Rosas 3D," Metro: Alsacia (línea 2)  Bus: 4, 70, 106, 140,  E2  ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3c9255004e91f010VgnVCM2000000c205a0aRCRD,GUADALAJARA,AVENIDA,2,MADRID,MADRID,28032,ARCOS,SAN BLAS-CANILLEJAS,447298,4474603,40.41850711270872,-3.6225145335284066,902 333 231,/contenido/entidadesYorganismos/CinesFilmotecas, 
33938,Cine Cinesa Méndez Álvaro 3D,"  Metro:  Méndez Álvaro (línea 6)   Renfe:  Méndez Álvaro   Bus:  102, 113, 148, 152 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b32e3d232e91f010VgnVCM1000000b205a0aRCRD,ACANTO,CALLE,2,MADRID,MADRID,28045,ATOCHA,ARGANZUELA,442780,4472196,40.396524567021544,-3.6755496528510783,902 333 231,/contenido/entidadesYorganismos/CinesFilmotecas, 
160926,Cine Cinesa Príncipe Pío," Metro: Príncipe Pío (líneas 6, 10)  Bus: 25, 33, 39, 62, 41, 46, 75, 138,  C1 ,  C2   Renfe: Príncipe Pío ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=de97051c8d91f010VgnVCM1000000b205a0aRCRD,FLORIDA,PASEO,0,MADRID,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,438948,4474919,40.42078197104075,-3.7209625681527148,902 333 231,/contenido/entidadesYorganismos/CinesFilmotecas, 
