FD_PK,PSA,PARK,FQ,SCORE
FD_PK,PSA,PARK,FQ,SCORE
185,PSA4,15TH AVENUE STEPS,FY05Q3,0.66667
65,PSA4,APTOS PLAYGROUND,FY05Q3,0.46154
97,PSA1,ARGONNE PLAYGROUND,FY05Q3,0.91045
203,PSA1,BROADWAY TUNNEL WEST MINI PARK,FY05Q3,0.5
86,PSA4,CARL LARSEN PARK,FY05Q3,0.79487
159,PSA5,CAYUGA/LAMARTINE MINI PARK,FY05Q3,0.38462
80,PSA5,CORONA HEIGHTS,FY05Q3,0.81356
199,PSA6,COSO/PRECITA MINI PARK,FY05Q3,0.72222
127,PSA2,COTTAGE ROW MINI PARK,FY05Q3,1
113,PSA6,DUBOCE PARK,FY05Q3,0.73333
193,PSA2,ESPRIT PARK,FY05Q3,0.37037
134,PSA2,FATHER ALFRED E. BOEDDEKER PARK,FY05Q3,0.88406
55,PSA2,FRANKLIN SQUARE,FY05Q3,0.4359
96,PSA1,FULTON PLAYGROUND,FY05Q3,0.97778
24,PSA6,GARFIELD SQUARE,FY05Q3,0.53191
7,PSA5,GEORGE CHRISTOPHER PLAYGROUND,FY05Q3,0.77922
1,PSA5,GLEN PARK,FY05Q3,0.86747
94,GGP,GOLDEN GATE PARK,FY05Q3,0.89362
12910,PSA4,GRAND VIEW OPEN SPACE,FY05Q3,0
92,PSA4,GRAND VIEW PARK,FY05Q3,0.83333
104,PSA2,GRATTAN PLAYGROUND,FY05Q3,0.93671
47,PSA3,HILLTOP PARK,FY05Q3,0.67742
32,PSA6,HOLLY PARK,FY05Q3,0.92308
165,PSA3,Hunter's Point Recreation Center,FY05Q3,0.65957
145,PSA1,INA COOLBRITH MINI PARK,FY05Q3,0.96774
48,PSA3,INDIA BASIN SHORELINE PARK,FY05Q3,0.72581
50,PSA6,JAMES ROLPH JR PLAYGROUND,FY05Q3,0.79452
118,PSA2,JOSEPH L. ALIOTO PERFORMING ARTS PIAZZA,FY05Q3,0.88
13,PSA4,JUNIPERO SERRA PLAYGROUND,FY05Q3,0.95714
23,PSA6,JURI COMMONS,FY05Q3,0.79545
128,PSA1,LAFAYETTE PARK,FY05Q3,0.77333
14,PSA3,LESSING/SEARS MINI PARK,FY05Q3,0.875
148,PSA1,MICHELANGELO PLAYGROUND,FY05Q3,0.90566
167,PSA4,MIDTOWN TERRACE PLAYGROUND,FY05Q3,0.89552
176,PSA6,MULLEN/PERALTA MINI PARK,FY05Q3,1
72,PSA5,NOE VALLEY COURTS,FY05Q3,0.6087
30,PSA3,PALEGA RECREATION CENTER,FY05Q3,0.7619
187,PSA6,PARQUE NINOS UNIDOS,FY05Q3,0.88889
82,PSA4,PINE LAKE PARK,FY05Q3,0.79365
49,PSA6,POTRERO DEL SOL PARK,FY05Q3,0.76744
9,PSA4,ROLPH NICOL PLAYGROUND,FY05Q3,0.86364
123,PSA2,SGT. JOHN MACAULAY PARK,FY05Q3,0.73684
85,PSA4,SOUTH SUNSET PLAYGROUND,FY05Q3,0.85882
143,PSA1,SUE BIERMAN PARK,FY05Q3,0.93939
180,PSA5,SUNNYSIDE CONSERVATORY,FY05Q3,0.46667
149,PSA1,TELEGRAPH HILL/PIONEER PARK,FY05Q3,0.69811
168,PSA2,TENDERLOIN CHILDREN'S REC CENTER,FY05Q3,0.95122
192,PSA2,TURK/HYDE MINI PARK,FY05Q3,0.72
135,PSA2,UNION SQUARE,FY05Q3,1
139,PSA1,WILLIE WOO WOO WONG PLAYGROUND,FY05Q3,1
170,PSA1,WOH HEI YUEN PARK,FY05Q3,0.84
45,PSA3,YOUNGBLOOD COLEMAN PLAYGROUND,FY05Q3,0.78261
156,PSA1,10TH AVE/CLEMENT MINI PARK,FY05Q4,0.65517
117,PSA2,ALAMO SQUARE,FY05Q4,0.85714
105,PSA1,ANGELO J. ROSSI PLAYGROUND,FY05Q4,0.88073
65,PSA4,APTOS PLAYGROUND,FY05Q4,0.75926
33,PSA6,BERNAL HEIGHTS RECREATION CENTER,FY05Q4,0.92105
95,PSA1,CABRILLO PLAYGROUND,FY05Q4,0.84706
159,PSA5,CAYUGA/LAMARTINE MINI PARK,FY05Q4,1
140,PSA1,CHINESE RECREATION CENTER,FY05Q4,0.85417
137,PSA1,COLLIS P. HUNTINGTON PARK,FY05Q4,0.97826
80,PSA5,CORONA HEIGHTS,FY05Q4,1
164,PSA3,CROCKER AMAZON PLAYGROUND,FY05Q4,0.82895
8,PSA5,DOUGLASS PLAYGROUND,FY05Q4,0.53704
75,PSA5,EUREKA VALLEY REC CENTER,FY05Q4,0.38462
134,PSA2,FATHER ALFRED E. BOEDDEKER PARK,FY05Q4,1
96,PSA1,FULTON PLAYGROUND,FY05Q4,0.79032
7,PSA5,GEORGE CHRISTOPHER PLAYGROUND,FY05Q4,0.5
1,PSA5,GLEN PARK,FY05Q4,0.85827
89,PSA4,GOLDEN GATE HEIGHTS PARK,FY05Q4,0.87755
94,GGP,GOLDEN GATE PARK,FY05Q4,0.78113
104,PSA2,GRATTAN PLAYGROUND,FY05Q4,0.87302
196,PSA4,HEAD/BROTHERHOOD MINI PARK,FY05Q4,0.95652
32,PSA6,HOLLY PARK,FY05Q4,0.93182
145,PSA1,INA COOLBRITH MINI PARK,FY05Q4,0.82609
54,PSA2,JACKSON PLAYGROUND,FY05Q4,0.88462
60,PSA6,JOSE CORONADO PLAYGROUND,FY05Q4,0.85897
118,PSA2,JOSEPH L. ALIOTO PERFORMING ARTS PIAZZA,FY05Q4,0.97403
13,PSA4,JUNIPERO SERRA PLAYGROUND,FY05Q4,0.93548
10,PSA4,LAKE MERCED PARK,FY05Q4,0.73016
42,PSA3,LITTLE HOLLYWOOD PARK,FY05Q4,0.84615
17,PSA4,MERCED HEIGHTS PLAYGROUND,FY05Q4,0.74667
70,PSA5,MIRALOMA PLAYGROUND,FY05Q4,0.91429
61,PSA6,MISSION PLAYGROUND,FY05Q4,0.56566
72,PSA5,NOE VALLEY COURTS,FY05Q4,0.53968
111,PSA1,PALACE OF FINE ARTS,FY05Q4,0.77193
30,PSA3,PALEGA RECREATION CENTER,FY05Q4,0.79592
141,PSA1,PORTSMOUTH SQUARE,FY05Q4,0.71429
52,PSA2,POTRERO HILL RECREATION CENTER,FY05Q4,0.83133
201,PSA6,PRENTISS MINI PARK,FY05Q4,0.9375
16,PSA4,RANDOLPH/BRIGHT MINI PARK,FY05Q4,0.875
172,PSA1,RICHMOND RECREATION CENTER,FY05Q4,0.95161
9,PSA4,ROLPH NICOL PLAYGROUND,FY05Q4,0.90385
153,PSA1,RUSSIAN HILL OPEN SPACE,FY05Q4,1
73,PSA5,SEWARD MINI PARK,FY05Q4,0.9375
31,PSA6,ST MARY'S REC CENTER,FY05Q4,0.976
200,PSA5,STATES STREET PLAYGROUND,FY05Q4,0.96078
192,PSA2,TURK/HYDE MINI PARK,FY05Q4,1
22,PSA5,UPPER NOE RECREATION CENTER,FY05Q4,0.77922
144,PSA1,WASHINGTON/HYDE MINI PARK,FY05Q4,1
68,PSA4,WEST PORTAL PLAYGROUND,FY05Q4,1
156,PSA1,10TH AVE/CLEMENT MINI PARK,FY06Q1,0.78947
51,PSA6,24TH/YORK MINI PARK,FY06Q1,0.85135
194,PSA5,29TH/DIAMOND OPEN SPACE,FY06Q1,1
46,PSA3,ADAM ROGERS PARK,FY06Q1,0.5
117,PSA2,ALAMO SQUARE,FY06Q1,0.94828
25,PSA3,ALICE CHALMERS PLAYGROUND,FY06Q1,0.925
131,PSA1,ALLYNE PARK,FY06Q1,1
129,PSA1,ALTA PLAZA,FY06Q1,0.88542
105,PSA1,ANGELO J. ROSSI PLAYGROUND,FY06Q1,0.88983
97,PSA1,ARGONNE PLAYGROUND,FY06Q1,0.92593
66,PSA5,BALBOA PARK,FY06Q1,0.88667
38,PSA3,BAY VIEW PLAYGROUND,FY06Q1,0.7265
106,PSA2,BEIDEMAN/O'FARRELL MINI PARK,FY06Q1,0.77778
204,PSA1,BROADWAY TUNNEL EAST MINI PARK,FY06Q1,0.64706
203,PSA1,BROADWAY TUNNEL WEST MINI PARK,FY06Q1,0.90909
18,PSA4,BROOKS PARK,FY06Q1,1
121,PSA2,BUCHANAN STREET MALL,FY06Q1,0.68254
81,PSA5,BUENA VISTA PARK,FY06Q1,0.625
108,PSA2,BUSH/BRODERICK MINI PARK,FY06Q1,0.77612
95,PSA1,CABRILLO PLAYGROUND,FY06Q1,0.87097
86,PSA4,CARL LARSEN PARK,FY06Q1,0.7
15,PSA3,CAYUGA PLAYGROUND,FY06Q1,0.81538
152,PSA1,CHESTNUT/KEARNY OPEN SPACE,FY06Q1,0.8
140,PSA1,CHINESE RECREATION CENTER,FY06Q1,0.87273
34,PSA6,COLERIDGE MINI PARK,FY06Q1,0.67647
137,PSA1,COLLIS P. HUNTINGTON PARK,FY06Q1,0.97222
80,PSA5,CORONA HEIGHTS,FY06Q1,0.67532
199,PSA6,COSO/PRECITA MINI PARK,FY06Q1,1
127,PSA2,COTTAGE ROW MINI PARK,FY06Q1,0.73469
164,PSA3,CROCKER AMAZON PLAYGROUND,FY06Q1,0.72727
8,PSA5,DOUGLASS PLAYGROUND,FY06Q1,0.53165
113,PSA6,DUBOCE PARK,FY06Q1,0.91781
98,PSA1,DUPONT COURTS,FY06Q1,0.87273
193,PSA2,ESPRIT PARK,FY06Q1,0.875
29,PSA3,EXCELSIOR PLAYGROUND,FY06Q1,0.97849
134,PSA2,FATHER ALFRED E. BOEDDEKER PARK,FY06Q1,0.72464
182,PSA2,FILLMORE/TURK MINI PARK,FY06Q1,0.65152
55,PSA2,FRANKLIN SQUARE,FY06Q1,0.17391
96,PSA1,FULTON PLAYGROUND,FY06Q1,0.94828
24,PSA6,GARFIELD SQUARE,FY06Q1,0.70492
44,PSA3,GILMAN PLAYGROUND,FY06Q1,0.76271
94,GGP,GOLDEN GATE PARK,FY06Q1,0.87783
120,PSA2,GOLDEN GATE/STEINER MINI PARK,FY06Q1,0.57895
104,PSA2,GRATTAN PLAYGROUND,FY06Q1,0.58462
125,PSA2,HAMILTON REC CENTER,FY06Q1,0.46835
116,PSA2,HAYES VALLEY PLAYGROUND,FY06Q1,0.9
196,PSA4,HEAD/BROTHERHOOD MINI PARK,FY06Q1,0.8
130,PSA1,HELEN WILLS PLAYGROUND,FY06Q1,0.91837
47,PSA3,HILLTOP PARK,FY06Q1,0.63043
165,PSA3,Hunter's Point Recreation Center,FY06Q1,0.68254
146,PSA1,HYDE/VALLEJO MINI PARK,FY06Q1,1
48,PSA3,INDIA BASIN SHORELINE PARK,FY06Q1,0.72131
90,PSA4,J. P. MURPHY PLAYGROUND,FY06Q1,1
54,PSA2,JACKSON PLAYGROUND,FY06Q1,0.89189
50,PSA6,JAMES ROLPH JR PLAYGROUND,FY06Q1,0.85484
126,PSA2,JAPANTOWN PEACE PLAZA,FY06Q1,0.875
122,PSA2,JEFFERSON SQUARE,FY06Q1,0.75789
150,PSA1,JOE DIMAGGIO PLAYGROUND,FY06Q1,0.88957
28,PSA3,JOHN MCLAREN PARK,FY06Q1,0.74916
158,PSA5,JOOST/BADEN MINI PARK,FY06Q1,0.57143
60,PSA6,JOSE CORONADO PLAYGROUND,FY06Q1,0.8
154,PSA1,JOSEPH CONRAD MINI PARK,FY06Q1,0.90244
118,PSA2,JOSEPH L. ALIOTO PERFORMING ARTS PIAZZA,FY06Q1,0.70149
40,PSA3,JOSEPH LEE RECREATION CENTER,FY06Q1,0.41304
166,PSA1,JULIUS KAHN PLAYGROUND,FY06Q1,0.91441
13,PSA4,JUNIPERO SERRA PLAYGROUND,FY06Q1,0.93506
23,PSA6,JURI COMMONS,FY06Q1,0.75581
138,PSA1,JUSTIN HERMAN/EMBARCADERO PLAZA,FY06Q1,0.9
26,PSA3,KELLOCH VELASCO MINI PARK,FY06Q1,0.88462
191,PSA6,KID POWER PARK,FY06Q1,1
115,PSA2,KOSHLAND PARK,FY06Q1,0.87234
128,PSA1,LAFAYETTE PARK,FY06Q1,0.58025
107,PSA1,LAUREL HILL PLAYGROUND,FY06Q1,0.90541
14,PSA3,LESSING/SEARS MINI PARK,FY06Q1,0.61538
103,PSA1,LINCOLN PARK,FY06Q1,0.69355
42,PSA3,LITTLE HOLLYWOOD PARK,FY06Q1,0.94286
119,PSA2,MARGARET S HAYWARD PLAYGROUND,FY06Q1,0.8
88,PSA4,MCCOPPIN SQUARE,FY06Q1,0.9186
53,PSA2,MCKINLEY SQUARE,FY06Q1,0.90476
17,PSA4,MERCED HEIGHTS PLAYGROUND,FY06Q1,0.67308
148,PSA1,MICHELANGELO PLAYGROUND,FY06Q1,0.95918
167,PSA4,MIDTOWN TERRACE PLAYGROUND,FY06Q1,0.96825
19,PSA4,MINNIE & LOVIE WARD REC CENTER,FY06Q1,0.54701
70,PSA5,MIRALOMA PLAYGROUND,FY06Q1,0.68571
63,PSA6,MISSION DOLORES PARK,FY06Q1,0.9527
61,PSA6,MISSION PLAYGROUND,FY06Q1,0.77778
59,PSA6,MISSION REC CENTER,FY06Q1,1
132,PSA1,MOSCONE RECREATION CENTER,FY06Q1,0.77358
102,PSA1,MOUNTAIN LAKE PARK,FY06Q1,0.80282
78,PSA5,MT OLYMPUS,FY06Q1,0.95238
176,PSA6,MULLEN/PERALTA MINI PARK,FY06Q1,1
155,PSA1,MURIEL LEFF MINI PARK,FY06Q1,0.97368
72,PSA5,NOE VALLEY COURTS,FY06Q1,0.86207
114,PSA2,PAGE/LAGUNA MINI PARK,FY06Q1,0.81538
111,PSA1,PALACE OF FINE ARTS,FY06Q1,0.66667
30,PSA3,PALEGA RECREATION CENTER,FY06Q1,0.84
188,PSA3,PALOU/PHELPS PARK,FY06Q1,0.85366
84,PSA4,PARKSIDE SQUARE,FY06Q1,0.77246
187,PSA6,PARQUE NINOS UNIDOS,FY06Q1,0.872
195,PSA5,PEIXOTTO PLAYGROUND,FY06Q1,0.77027
82,PSA4,PINE LAKE PARK,FY06Q1,0.62832
141,PSA1,PORTSMOUTH SQUARE,FY06Q1,0.70313
49,PSA6,POTRERO DEL SOL PARK,FY06Q1,0.84091
52,PSA2,POTRERO HILL RECREATION CENTER,FY06Q1,0.71429
37,PSA6,PRECITA PARK,FY06Q1,0.93478
109,PSA1,PRESIDIO HEIGHTS PLAYGROUND,FY06Q1,0.9322
16,PSA4,RANDOLPH/BRIGHT MINI PARK,FY06Q1,0.62857
124,PSA2,RAYMOND KIMBELL PLAYGROUND,FY06Q1,0.65068
100,PSA1,RICHMOND PLAYGROUND,FY06Q1,0.94845
172,PSA1,RICHMOND RECREATION CENTER,FY06Q1,0.98333
189,PSA3,RIDGETOP PLAZA,FY06Q1,0.76
99,PSA1,ROCHAMBEAU PLAYGROUND,FY06Q1,1
9,PSA4,ROLPH NICOL PLAYGROUND,FY06Q1,0.52174
79,PSA5,SATURN STREET STEPS,FY06Q1,0.28571
157,PSA3,SELBY/PALOU MINI PARK,FY06Q1,0.63514
73,PSA5,SEWARD MINI PARK,FY06Q1,0.41935
123,PSA2,SGT. JOHN MACAULAY PARK,FY06Q1,0.7619
83,PSA4,SIGMUND STERN RECREATION GROVE,FY06Q1,0.91589
39,PSA3,SILVER TERRACE PLAYGROUND,FY06Q1,0.82424
56,PSA2,SOUTH PARK,FY06Q1,0.90805
85,PSA4,SOUTH SUNSET PLAYGROUND,FY06Q1,0.90909
31,PSA6,ST MARY'S REC CENTER,FY06Q1,0.88889
136,PSA1,ST MARY'S SQUARE,FY06Q1,1
200,PSA5,STATES STREET PLAYGROUND,FY06Q1,0.60714
143,PSA1,SUE BIERMAN PARK,FY06Q1,0.92
180,PSA5,SUNNYSIDE CONSERVATORY,FY06Q1,0.64516
67,PSA5,SUNNYSIDE PLAYGROUND,FY06Q1,0.64286
93,PSA4,SUNSET PLAYGROUND,FY06Q1,0.78014
149,PSA1,TELEGRAPH HILL/PIONEER PARK,FY06Q1,0.65957
168,PSA2,TENDERLOIN CHILDREN'S REC CENTER,FY06Q1,0.93548
197,PSA5,TOPAZ OPEN SPACE,FY06Q1,0
192,PSA2,TURK/HYDE MINI PARK,FY06Q1,0.77778
135,PSA2,UNION SQUARE,FY06Q1,1
202,PSA2,UTAH/18TH MINI PARK,FY06Q1,0.47368
177,PSA3,VISITACION VALLEY GREENWAY,FY06Q1,0.84483
27,PSA3,VISITACION VALLEY PLAYGROUND,FY06Q1,0.97826
