FD_PK,PSA,PARK,FQ,SCORE
147,PSA1,WASHINGTON SQUARE,FY06Q1,0.72115
144,PSA1,WASHINGTON/HYDE MINI PARK,FY06Q1,0.925
68,PSA4,WEST PORTAL PLAYGROUND,FY06Q1,0.69643
91,PSA4,WEST SUNSET PLAYGROUND,FY06Q1,0.96183
139,PSA1,WILLIE WOO WOO WONG PLAYGROUND,FY06Q1,0.94318
170,PSA1,WOH HEI YUEN PARK,FY06Q1,0.86207
112,PSA1,YACHT HARBOR AND MARINA GREEN,FY06Q1,0.79245
45,PSA3,YOUNGBLOOD COLEMAN PLAYGROUND,FY06Q1,0.71667
156,PSA1,10TH AVE/CLEMENT MINI PARK,FY06Q2,0.85417
51,PSA6,24TH/YORK MINI PARK,FY06Q2,0.875
194,PSA5,29TH/DIAMOND OPEN SPACE,FY06Q2,0
25,PSA3,ALICE CHALMERS PLAYGROUND,FY06Q2,0.875
151,PSA1,ALICE MARBLE TENNIS COURTS,FY06Q2,1
62,PSA6,ALIOTO MINI PARK,FY06Q2,0.97561
131,PSA1,ALLYNE PARK,FY06Q2,0.79412
129,PSA1,ALTA PLAZA,FY06Q2,0.95556
105,PSA1,ANGELO J. ROSSI PLAYGROUND,FY06Q2,0.90179
97,PSA1,ARGONNE PLAYGROUND,FY06Q2,0.76316
66,PSA5,BALBOA PARK,FY06Q2,0.80833
38,PSA3,BAY VIEW PLAYGROUND,FY06Q2,0.85714
106,PSA2,BEIDEMAN/O'FARRELL MINI PARK,FY06Q2,0.65217
33,PSA6,BERNAL HEIGHTS RECREATION CENTER,FY06Q2,0.75
204,PSA1,BROADWAY TUNNEL EAST MINI PARK,FY06Q2,0.45
203,PSA1,BROADWAY TUNNEL WEST MINI PARK,FY06Q2,0.63158
18,PSA4,BROOKS PARK,FY06Q2,0.91228
160,PSA4,BROTHERHOOD/CHESTER MINI PARK,FY06Q2,0.55
121,PSA2,BUCHANAN STREET MALL,FY06Q2,0.78161
81,PSA5,BUENA VISTA PARK,FY06Q2,0.95238
108,PSA2,BUSH/BRODERICK MINI PARK,FY06Q2,0.51351
95,PSA1,CABRILLO PLAYGROUND,FY06Q2,0.96341
86,PSA4,CARL LARSEN PARK,FY06Q2,0.25641
15,PSA3,CAYUGA PLAYGROUND,FY06Q2,0.64286
159,PSA5,CAYUGA/LAMARTINE MINI PARK,FY06Q2,0.59259
152,PSA1,CHESTNUT/KEARNY OPEN SPACE,FY06Q2,1
140,PSA1,CHINESE RECREATION CENTER,FY06Q2,0.83019
34,PSA6,COLERIDGE MINI PARK,FY06Q2,0.94118
137,PSA1,COLLIS P. HUNTINGTON PARK,FY06Q2,0.93478
80,PSA5,CORONA HEIGHTS,FY06Q2,0.97619
199,PSA6,COSO/PRECITA MINI PARK,FY06Q2,0.75
127,PSA2,COTTAGE ROW MINI PARK,FY06Q2,0.84848
110,PSA1,COW HOLLOW PLAYGROUND,FY06Q2,0.83673
164,PSA3,CROCKER AMAZON PLAYGROUND,FY06Q2,0.83505
181,PSA5,DIAMOND/FARNUM OPEN SPACE,FY06Q2,1
8,PSA5,DOUGLASS PLAYGROUND,FY06Q2,0.71739
113,PSA6,DUBOCE PARK,FY06Q2,0.89583
98,PSA1,DUPONT COURTS,FY06Q2,0.82143
75,PSA5,EUREKA VALLEY REC CENTER,FY06Q2,1
29,PSA3,EXCELSIOR PLAYGROUND,FY06Q2,0.86747
134,PSA2,FATHER ALFRED E. BOEDDEKER PARK,FY06Q2,0.91803
182,PSA2,FILLMORE/TURK MINI PARK,FY06Q2,0.90909
55,PSA2,FRANKLIN SQUARE,FY06Q2,0.65957
96,PSA1,FULTON PLAYGROUND,FY06Q2,0.91358
24,PSA6,GARFIELD SQUARE,FY06Q2,0.6129
57,PSA2,GENE FRIEND REC CENTER,FY06Q2,0.80392
21,PSA5,GENEVA AVENUE STRIP,FY06Q2,0.27273
7,PSA5,GEORGE CHRISTOPHER PLAYGROUND,FY06Q2,0.87912
44,PSA3,GILMAN PLAYGROUND,FY06Q2,0.76389
1,PSA5,GLEN PARK,FY06Q2,0.9899
89,PSA4,GOLDEN GATE HEIGHTS PARK,FY06Q2,0.84906
94,GGP,GOLDEN GATE PARK,FY06Q2,0.61684
120,PSA2,GOLDEN GATE/STEINER MINI PARK,FY06Q2,0.84211
104,PSA2,GRATTAN PLAYGROUND,FY06Q2,0.68421
125,PSA2,HAMILTON REC CENTER,FY06Q2,0.78667
116,PSA2,HAYES VALLEY PLAYGROUND,FY06Q2,0.64407
196,PSA4,HEAD/BROTHERHOOD MINI PARK,FY06Q2,0.93939
130,PSA1,HELEN WILLS PLAYGROUND,FY06Q2,1
32,PSA6,HOLLY PARK,FY06Q2,0.81081
165,PSA3,Hunter's Point Recreation Center,FY06Q2,0.86538
146,PSA1,HYDE/VALLEJO MINI PARK,FY06Q2,0.63636
145,PSA1,INA COOLBRITH MINI PARK,FY06Q2,0.75758
90,PSA4,J. P. MURPHY PLAYGROUND,FY06Q2,0.95775
54,PSA2,JACKSON PLAYGROUND,FY06Q2,0.91954
50,PSA6,JAMES ROLPH JR PLAYGROUND,FY06Q2,0.79775
126,PSA2,JAPANTOWN PEACE PLAZA,FY06Q2,0.73077
122,PSA2,JEFFERSON SQUARE,FY06Q2,0.84783
150,PSA1,JOE DIMAGGIO PLAYGROUND,FY06Q2,0.98947
28,PSA3,JOHN MCLAREN PARK,FY06Q2,0.77358
158,PSA5,JOOST/BADEN MINI PARK,FY06Q2,0.94737
60,PSA6,JOSE CORONADO PLAYGROUND,FY06Q2,0.74576
154,PSA1,JOSEPH CONRAD MINI PARK,FY06Q2,0.87879
118,PSA2,JOSEPH L. ALIOTO PERFORMING ARTS PIAZZA,FY06Q2,0.96491
166,PSA1,JULIUS KAHN PLAYGROUND,FY06Q2,0.93939
13,PSA4,JUNIPERO SERRA PLAYGROUND,FY06Q2,0.97468
23,PSA6,JURI COMMONS,FY06Q2,0.87179
138,PSA1,JUSTIN HERMAN/EMBARCADERO PLAZA,FY06Q2,0.72727
26,PSA3,KELLOCH VELASCO MINI PARK,FY06Q2,0.81579
191,PSA6,KID POWER PARK,FY06Q2,0.97826
115,PSA2,KOSHLAND PARK,FY06Q2,0.875
128,PSA1,LAFAYETTE PARK,FY06Q2,0.73864
10,PSA4,LAKE MERCED PARK,FY06Q2,0.80882
107,PSA1,LAUREL HILL PLAYGROUND,FY06Q2,0.91304
14,PSA3,LESSING/SEARS MINI PARK,FY06Q2,0.80851
42,PSA3,LITTLE HOLLYWOOD PARK,FY06Q2,0.89796
119,PSA2,MARGARET S HAYWARD PLAYGROUND,FY06Q2,0.90833
88,PSA4,MCCOPPIN SQUARE,FY06Q2,0.78182
53,PSA2,MCKINLEY SQUARE,FY06Q2,0.52632
17,PSA4,MERCED HEIGHTS PLAYGROUND,FY06Q2,0.82418
148,PSA1,MICHELANGELO PLAYGROUND,FY06Q2,0.95
167,PSA4,MIDTOWN TERRACE PLAYGROUND,FY06Q2,0.90909
19,PSA4,MINNIE & LOVIE WARD REC CENTER,FY06Q2,0.36047
70,PSA5,MIRALOMA PLAYGROUND,FY06Q2,0.68478
63,PSA6,MISSION DOLORES PARK,FY06Q2,0.78125
61,PSA6,MISSION PLAYGROUND,FY06Q2,0.94286
59,PSA6,MISSION REC CENTER,FY06Q2,0.93333
132,PSA1,MOSCONE RECREATION CENTER,FY06Q2,0.89024
102,PSA1,MOUNTAIN LAKE PARK,FY06Q2,0.81111
78,PSA5,MT OLYMPUS,FY06Q2,1
176,PSA6,MULLEN/PERALTA MINI PARK,FY06Q2,1
155,PSA1,MURIEL LEFF MINI PARK,FY06Q2,0.90323
72,PSA5,NOE VALLEY COURTS,FY06Q2,0.85075
114,PSA2,PAGE/LAGUNA MINI PARK,FY06Q2,0.75
111,PSA1,PALACE OF FINE ARTS,FY06Q2,0.95745
30,PSA3,PALEGA RECREATION CENTER,FY06Q2,0.59259
188,PSA3,PALOU/PHELPS PARK,FY06Q2,0.75
84,PSA4,PARKSIDE SQUARE,FY06Q2,0.48718
187,PSA6,PARQUE NINOS UNIDOS,FY06Q2,0.86667
195,PSA5,PEIXOTTO PLAYGROUND,FY06Q2,0.98305
82,PSA4,PINE LAKE PARK,FY06Q2,0.64
141,PSA1,PORTSMOUTH SQUARE,FY06Q2,0.88636
49,PSA6,POTRERO DEL SOL PARK,FY06Q2,0.67647
52,PSA2,POTRERO HILL RECREATION CENTER,FY06Q2,0.93043
37,PSA6,PRECITA PARK,FY06Q2,0.87805
201,PSA6,PRENTISS MINI PARK,FY06Q2,0.875
109,PSA1,PRESIDIO HEIGHTS PLAYGROUND,FY06Q2,0.93478
16,PSA4,RANDOLPH/BRIGHT MINI PARK,FY06Q2,0.76667
124,PSA2,RAYMOND KIMBELL PLAYGROUND,FY06Q2,0.59341
100,PSA1,RICHMOND PLAYGROUND,FY06Q2,0.91489
172,PSA1,RICHMOND RECREATION CENTER,FY06Q2,1
99,PSA1,ROCHAMBEAU PLAYGROUND,FY06Q2,0.88462
9,PSA4,ROLPH NICOL PLAYGROUND,FY06Q2,0.93023
153,PSA1,RUSSIAN HILL OPEN SPACE,FY06Q2,1
79,PSA5,SATURN STREET STEPS,FY06Q2,0.78571
157,PSA3,SELBY/PALOU MINI PARK,FY06Q2,0.82979
73,PSA5,SEWARD MINI PARK,FY06Q2,1
123,PSA2,SGT. JOHN MACAULAY PARK,FY06Q2,0.79167
83,PSA4,SIGMUND STERN RECREATION GROVE,FY06Q2,0.8
39,PSA3,SILVER TERRACE PLAYGROUND,FY06Q2,0.59494
56,PSA2,SOUTH PARK,FY06Q2,0.92308
85,PSA4,SOUTH SUNSET PLAYGROUND,FY06Q2,0.70492
31,PSA6,ST MARY'S REC CENTER,FY06Q2,0.88148
136,PSA1,ST MARY'S SQUARE,FY06Q2,0.85
200,PSA5,STATES STREET PLAYGROUND,FY06Q2,1
143,PSA1,SUE BIERMAN PARK,FY06Q2,0.86486
180,PSA5,SUNNYSIDE CONSERVATORY,FY06Q2,0.36667
67,PSA5,SUNNYSIDE PLAYGROUND,FY06Q2,0.74468
93,PSA4,SUNSET PLAYGROUND,FY06Q2,0.9697
149,PSA1,TELEGRAPH HILL/PIONEER PARK,FY06Q2,0.94545
168,PSA2,TENDERLOIN CHILDREN'S REC CENTER,FY06Q2,0.93939
192,PSA2,TURK/HYDE MINI PARK,FY06Q2,0.92857
135,PSA2,UNION SQUARE,FY06Q2,0.92105
22,PSA5,UPPER NOE RECREATION CENTER,FY06Q2,0.66667
202,PSA2,UTAH/18TH MINI PARK,FY06Q2,1
177,PSA3,VISITACION VALLEY GREENWAY,FY06Q2,0.9875
27,PSA3,VISITACION VALLEY PLAYGROUND,FY06Q2,0.85938
4,PSA5,WALTER HAAS PLAYGROUND,FY06Q2,0.97101
147,PSA1,WASHINGTON SQUARE,FY06Q2,0.93939
144,PSA1,WASHINGTON/HYDE MINI PARK,FY06Q2,0.925
68,PSA4,WEST PORTAL PLAYGROUND,FY06Q2,0.92727
91,PSA4,WEST SUNSET PLAYGROUND,FY06Q2,0.75806
139,PSA1,WILLIE WOO WOO WONG PLAYGROUND,FY06Q2,0.77586
170,PSA1,WOH HEI YUEN PARK,FY06Q2,0.75
112,PSA1,YACHT HARBOR AND MARINA GREEN,FY06Q2,0.80303
45,PSA3,YOUNGBLOOD COLEMAN PLAYGROUND,FY06Q2,0.66667
