id,uri,title,estado,bicisDisponibles,anclajesDisponibles,geometry,lastUpdated,description,icon
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta101","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=101","C/ Doctor Iranzo -  C/ Escultor Benlliure","OPN","15","6","678017.9803453928 4613320.634481554",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 15</li><li>Anclajes disponibles: 6</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta102","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=102","C/ Pedro Joaquín Soler - Coso","OPN","8","12","676822.7225656463 4613438.861592172",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta103","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=103","C/ Lacarra de Miguel - C/ San Vicente Martir","OPN","9","12","676517.3458413489 4612706.090795129",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta104","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=104","C/ Madre Rafols - Esquina D.G.A.","OPN","10","11","675841.2652424083 4613665.173932331",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 10</li><li>Anclajes disponibles: 11</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta108","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=108","Plaza Emperador Carlos V","OPN","7","13","675140.5935417248 4611902.584283834",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 13</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta113","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=113","Vía Hispanidad - Avda. Gómez Laguna","OPN","6","15","673818.3928125117 4612194.426397253",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta115","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=115","Vía Hispanidad - C/ Océano Atlántico","OPN","7","14","673535.126796119 4612856.6010818435",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta118","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=118","Avda. Juan Pablo II - Avda. Gómez Laguna","OPN","8","12","674126.8415899678 4612286.664687123",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta119","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=119","Avda. Juan Carlos I - C/ Ramón Sainz de Varanda","OPN","5","16","674353.1383456963 4611979.637886653",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 5</li><li>Anclajes disponibles: 16</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta120","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=120","C/ Asín y Palacios - C/ Pedro IV El Ceremonioso","OPN","9","12","674454.0980053664 4611556.142109903",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta121","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=121","C/ Eduardo Ibarra - C/ Violante de Hungría","OPN","9","12","674849.903485189 4612042.595863729",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta125","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=125","Via Univérsitas - C/ Hermanos Gambra","OPN","4","17","674209.1338063633 4613140.443152811",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 4</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta127","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=127","Avda. Navarra - C/ Rioja","OPN","6","15","674246.138705967 4613850.809511608",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/estacion-bicicleta129","http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=129","C/ Graus - C/ Unceta","OPN","15","5","674776.6682624074 4613537.967226235",2015-10-19T00:22:00Z,"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 15</li><li>Anclajes disponibles: 5</li></ul><p>Actualizado: 00:22</p>","http://www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
