id,title,title_ext,tipo,lastUpdated,pubDate
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/20","AAIUN, EL","EL AAIÚN","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/80","ABEJAR, CAMINO DEL","DEL ABEJAR","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/90","ACACIAS           MRL","ACACIAS","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/92","ACEQUIA, CN.      MNT","ACEQUIA","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/95","ACORAZADO POTEMKIN,EL","EL ACORAZADO POTEMKIN","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/100","ADAM, MARIANO","MARIANO ADAM","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/140","ADRADOS, ANTONIO","ANTONIO ADRADOS","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/175","AEROPUERTO, CARRETERA","AEROPUERTO","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/180","AFRICA","ÁFRICA","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/190","AFUERAS           TRC","AFUERAS","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/280","AGUAS, JUAN","JUAN AGUAS","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/300","AGUDO, DOMINGO(MOSEN)","MOSÉN DOMINGO AGUDO","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/340","AGUSTIN, PASEO MARIA","MARÍA AGUSTÍN","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/360","AGUSTINES","AGUSTINES","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/380","AHUMADA (MARQUES DE)","MARQUÉS DE AHUMADA","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/390","AILANTO, DEL","AILANTO","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/400","AINZON","AINZÓN","","",""
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/405","ALAGON","ALAGÓN","","",""
