id,title,description,plazas,lastUpdated,geometry,icon
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/1","Estacionamiento para Motos","CALLE BILBAO, 2","15",2014-12-03T00:00:00Z,"676200.75 4613253.5","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/2","Estacionamiento para Motos","CALLE MARQUES CASA JIMENEZ, 4","18",2014-12-03T00:00:00Z,"676310.9 4613259.5","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/3","Estacionamiento para Motos","PLAZA SAN PEDRO NOLASCO","23",2014-12-03T00:00:00Z,"676907.94 4613590.0","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/4","Estacionamiento para Motos","VERONICA, PLAZA","11",2014-12-03T00:00:00Z,"676846.7 4613489.5","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/5","Estacionamiento para Motos","CALLE PEDRO JOAQUIN SOLER, 5","2",2014-12-03T00:00:00Z,"676840.56 4613469.0","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/6","Estacionamiento para Motos","CALLE COSO, 101","15",2014-12-03T00:00:00Z,"676951.0 4613389.0","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/7","Estacionamiento para Motos","PLAZA SANTA ENGRACIA","10",2014-12-03T00:00:00Z,"676374.94 4613215.5","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/8","Estacionamiento para Motos","CALLE JOAQUIN COSTA, 3","11",2014-12-03T00:00:00Z,"676503.6 4613185.5","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/9","Estacionamiento para Motos","CALLE JOAQUIN COSTA, 6","9",2014-12-03T00:00:00Z,"676495.44 4613170.0","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/10","Estacionamiento para Motos","CALLE JOAQUIN COSTA, 8","10",2014-12-03T00:00:00Z,"676510.5 4613161.5","http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
