File,id,type,description,description URI from DBpedia,lastUpdated,latitude,longitude,icon,parkingBay,link
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/1,Parking,Plaza del Pilar (Zaragoza),http://es.dbpedia.org/resource/Plaza_del_Pilar_(Zaragoza),2013-04-09T20:00:00Z,676551.94,4614112,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/2,Parking,Plaza del Pilar (Zaragoza),http://es.dbpedia.org/resource/Plaza_del_Pilar_(Zaragoza),2013-04-09T20:00:00Z,676615.8,4614043.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/3,Parking,Ayuntamiento de Zaragoza,http://es.dbpedia.org/resource/Ayuntamiento_de_Zaragoza,2013-04-09T20:00:00Z,676815.8,4614011,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/4,Parking,Ayuntamiento de Zaragoza,http://es.dbpedia.org/resource/Ayuntamiento_de_Zaragoza,2013-04-09T20:00:00Z,676844.1,4613934.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/5,Parking,Ayuntamiento de Zaragoza,http://es.dbpedia.org/resource/Ayuntamiento_de_Zaragoza,2013-04-09T20:00:00Z,676784.1,4613940.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/6,Parking,Avenida de César Augusto (Zaragoza),http://es.dbpedia.org/resource/Avenida_de_César_Augusto_(Zaragoza),2013-04-09T20:00:00Z,676293,4613774,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/7,Parking,Avenida de César Augusto (Zaragoza),http://es.dbpedia.org/resource/Avenida_de_César_Augusto_(Zaragoza),2013-04-09T20:00:00Z,676269.5,4613820,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/8,Parking,Avenida de César Augusto (Zaragoza),http://es.dbpedia.org/resource/Avenida_de_César_Augusto_(Zaragoza),2013-04-09T20:00:00Z,676330.3,4613892.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/9,Parking,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676348.94,4613579,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/10,Parking,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676255.7,4613541,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/11,Parking,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676336.44,4613567.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/12,Parking,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676260,4613560.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/13,Parking,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676270.1,4613529,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/14,Parking,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,674994.9,4611819.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/15,Parking,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,675043.94,4611929.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/16,Parking,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,675041.44,4611848,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/17,Parking,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,675035.44,4611923.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/18,Parking,Palacio de Villahermosa (Zaragoza),http://es.dbpedia.org/resource/Palacio_de_Villahermosa_(Zaragoza),2013-04-09T20:00:00Z,674424.5,4612885.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/19,Parking,Palacio de Villahermosa (Zaragoza),http://es.dbpedia.org/resource/Palacio_de_Villahermosa_(Zaragoza),2013-04-09T20:00:00Z,674362.44,4612976.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/20,Parking,Seminario,http://es.dbpedia.org/resource/Seminario,2013-04-09T20:00:00Z,674101.7,4611590,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/21,Parking,Seminario,http://es.dbpedia.org/resource/Seminario,2013-04-09T20:00:00Z,674106.6,4611597,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/22,Parking,Hospital Clínico (Zaragoza),http://es.dbpedia.org/resource/Hospital_Clínico_(Zaragoza),2013-04-09T20:00:00Z,674782.44,4612593.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/23,Parking,Hospital Clínico (Zaragoza),http://es.dbpedia.org/resource/Hospital_Clínico_(Zaragoza),2013-04-09T20:00:00Z,674785.4,4612588,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
