id,tittle,description,lastUpdated,geometry,icon,link
http://www.zaragoza.es/api/recurso/poi/contenido-n1197212307,La Ciudad,Saneamiento y Depuraci�n: Ecociudad Agua. �Quienes Somos?,2013-06-16T00:00:00Z,483282.0 5454818.0,,http://www.zaragoza.es/ciudad/saneamiento/anuncio.htm
http://www.zaragoza.es/api/recurso/poi/contenido-459951775,Polic�a,Polic�a Zaragoza. Educaci�n Vial,2007-04-24T00:00:00Z,483282.0 5454818.0,,http://www.zaragoza.es/ciudad/policia/educavial.htm
http://www.zaragoza.es/api/recurso/poi/edificio-262,Edificios Hist�rico Art�sticos,"Libertad , 7",2011-02-01T00:00:00Z,676605.35 4613666.03,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=262
http://www.zaragoza.es/api/recurso/poi/edificio-765,Edificios Hist�rico Art�sticos,"Contamina , 11 (angular a la calle Maestro Luna)",2012-12-20T00:00:00Z,676524.62 4613861.48,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=765
http://www.zaragoza.es/api/recurso/poi/edificio-936,Edificios Hist�rico Art�sticos,"Hern�n Cort�s , 11",2012-12-28T00:00:00Z,675909.71 4613148.3,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=936
http://www.zaragoza.es/api/recurso/poi/edificio-1114,Edificios Hist�rico Art�sticos,"Amar y Borb�n , Josefa , 11",2011-02-01T00:00:00Z,676618.22 4613415.23,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=1114
http://www.zaragoza.es/api/recurso/poi/edificio-185,Edificios Hist�rico Art�sticos,"Paseo de la Mina , 1",2013-01-21T00:00:00Z,676718.85 4613001.74,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=185
http://www.zaragoza.es/api/recurso/poi/edificio-1354,Edificios Hist�rico Art�sticos,"Juan de Arag�n , 5",2013-01-04T00:00:00Z,676961.01 4613747.37,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=1354
http://www.zaragoza.es/api/recurso/poi/edificio-1500,Edificios Hist�rico Art�sticos,Colegio Santa Mar�a del Pilar (Marianistas),2012-12-20T00:00:00Z,674992.73 4610490.31,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=1500
http://www.zaragoza.es/api/recurso/poi/edificio-26,Edificios Hist�rico Art�sticos,"Conde Aranda , 5",2012-12-20T00:00:00Z,676223.98 4613750.63,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=26
http://www.zaragoza.es/api/recurso/poi/edificio-1182,Edificios Hist�rico Art�sticos,Casa Jim�nez ( Antiguo Gobierno Militar ),2013-09-06T00:00:00Z,676262.04 4613287.89,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=1182
http://www.zaragoza.es/api/recurso/poi/edificio-1181,Edificios Hist�rico Art�sticos,"Cervantes , 5",2012-12-19T00:00:00Z,676078.97 4612614.05,http://www.zaragoza.es/contenidos/iconos/arte.png,http://www.zaragoza.es/ciudad/vistasciudad/detalle_Catalogo?id=1181
