File,id,type,type URI from DBpedia,description,description URI from DBpedia,lastUpdated,geometry,icon,parkingBay,link
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/1,Vehículos,http://es.dbpedia.org/resource/Vehículos,Plaza del Pilar (Zaragoza),http://es.dbpedia.org/resource/Plaza_del_Pilar_(Zaragoza),2013-04-09T20:00:00Z,676551.94 4614112.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/2,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Plaza del Pilar (Zaragoza),http://es.dbpedia.org/resource/Plaza_del_Pilar_(Zaragoza),2013-04-09T20:00:00Z,676615.8 4614043.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/3,Vehículos,http://es.dbpedia.org/resource/Vehículos,Ayuntamiento de Zaragoza,http://es.dbpedia.org/resource/Ayuntamiento_de_Zaragoza,2013-04-09T20:00:00Z,676815.8 4614011.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/4,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Ayuntamiento de Zaragoza,http://es.dbpedia.org/resource/Ayuntamiento_de_Zaragoza,2013-04-09T20:00:00Z,676844.1 4613934.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/5,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Ayuntamiento de Zaragoza,http://es.dbpedia.org/resource/Ayuntamiento_de_Zaragoza,2013-04-09T20:00:00Z,676784.1 4613940.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/6,Vehículos,http://es.dbpedia.org/resource/Vehículos,Avenida de César Augusto (Zaragoza),http://es.dbpedia.org/resource/Avenida_de_César_Augusto_(Zaragoza),2013-04-09T20:00:00Z,676293.0 4613774.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/7,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Avenida de César Augusto (Zaragoza),http://es.dbpedia.org/resource/Avenida_de_César_Augusto_(Zaragoza),2013-04-09T20:00:00Z,676269.5 4613820.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/8,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Avenida de César Augusto (Zaragoza),http://es.dbpedia.org/resource/Avenida_de_César_Augusto_(Zaragoza),2013-04-09T20:00:00Z,676330.3 4613892.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/9,Vehículos,http://es.dbpedia.org/resource/Vehículos,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676348.94 4613579.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/10,Vehículos,http://es.dbpedia.org/resource/Vehículos,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676255.7 4613541.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/11,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676336.44 4613567.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/12,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676260.0 4613560.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/13,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,676270.1 4613529.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/14,Vehículos,http://es.dbpedia.org/resource/Vehículos,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,674994.9 4611819.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/15,Vehículos,http://es.dbpedia.org/resource/Vehículos,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,675043.94 4611929.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/16,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,675041.44 4611848.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/17,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2013-04-09T20:00:00Z,675035.44 4611923.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/18,Vehículos,http://es.dbpedia.org/resource/Vehículos,Palacio de Villahermosa (Zaragoza),http://es.dbpedia.org/resource/Palacio_de_Villahermosa_(Zaragoza),2013-04-09T20:00:00Z,674424.5 4612885.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/19,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Palacio de Villahermosa (Zaragoza),http://es.dbpedia.org/resource/Palacio_de_Villahermosa_(Zaragoza),2013-04-09T20:00:00Z,674362.44 4612976.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/20,Vehículos,http://es.dbpedia.org/resource/Vehículos,Seminario,http://es.dbpedia.org/resource/Seminario,2013-04-09T20:00:00Z,674101.7 4611590.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/21,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Seminario,http://es.dbpedia.org/resource/Seminario,2013-04-09T20:00:00Z,674106.6 4611597.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/22,Vehículos,http://es.dbpedia.org/resource/Vehículos,Hospital Clínico (Zaragoza),http://es.dbpedia.org/resource/Hospital_Clínico_(Zaragoza),2013-04-09T20:00:00Z,674782.44 4612593.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/23,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Hospital Clínico (Zaragoza),http://es.dbpedia.org/resource/Hospital_Clínico_(Zaragoza),2013-04-09T20:00:00Z,674785.4 4612588.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/24,Vehículos,http://es.dbpedia.org/resource/Vehículos,Hospital Clínico (Zaragoza),http://es.dbpedia.org/resource/Hospital_Clínico_(Zaragoza),2013-04-09T20:00:00Z,674750.0 4612437.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-accesos.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/25,Calle peatonal,http://es.dbpedia.org/resource/Calle_peatonal,Hospital Clínico (Zaragoza),http://es.dbpedia.org/resource/Hospital_Clínico_(Zaragoza),2013-04-09T20:00:00Z,674755.94 4612424.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/1,Motocicleta,http://dbpedia.org/resource/Motorcycle,Bilbao,http://dbpedia.org/resource/Bilbao,2014-12-02T19:00:00Z,676200.75 4613253.5,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,15,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/2,Motocicleta,http://dbpedia.org/resource/Motorcycle,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2014-12-02T19:00:00Z,676310.9 4613259.5,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,18,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/3,Motocicleta,http://dbpedia.org/resource/Motorcycle,San Pedro Nolasco,http://es.dbpedia.org/resource/San_Pedro_Nolasco,2014-12-02T19:00:00Z,676907.94 4613590.0,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,23,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/4,Motocicleta,http://dbpedia.org/resource/Motorcycle,Teatro romano de Zaragoza,http://es.dbpedia.org/resource/Teatro_romano_de_Zaragoza,2014-12-02T19:00:00Z,676846.7 4613489.5,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,11,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/5,Motocicleta,http://dbpedia.org/resource/Motorcycle,Teatro romano de Zaragoza,http://es.dbpedia.org/resource/Teatro_romano_de_Zaragoza,2014-12-02T19:00:00Z,676840.56 4613469.0,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,2,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/6,Motocicleta,http://dbpedia.org/resource/Motorcycle,Coso (Zaragoza),http://es.dbpedia.org/resource/Coso_(Zaragoza),2014-12-02T19:00:00Z,676951.0 4613389.0,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,15,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/7,Motocicleta,http://dbpedia.org/resource/Motorcycle,Basílica de Santa Engracia (Zaragoza),http://es.dbpedia.org/resource/Basílica_de_Santa_Engracia_(Zaragoza),2014-12-02T19:00:00Z,676374.94 4613215.5,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,10,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/8,Motocicleta,http://dbpedia.org/resource/Motorcycle,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2014-12-02T19:00:00Z,676503.6 4613185.5,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,11,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/9,Motocicleta,http://dbpedia.org/resource/Motorcycle,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2014-12-02T19:00:00Z,676495.44 4613170.0,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,9,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/10,Motocicleta,http://dbpedia.org/resource/Motorcycle,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2014-12-02T19:00:00Z,676510.5 4613161.5,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,10,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/11,Motocicleta,http://dbpedia.org/resource/Motorcycle,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2014-12-02T19:00:00Z,676534.44 4613257.0,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,5,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/12,Motocicleta,http://dbpedia.org/resource/Motorcycle,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2014-12-02T19:00:00Z,676425.4 4613285.5,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,15,
aparcamiento-moto.csv,http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/13,Motocicleta,http://dbpedia.org/resource/Motorcycle,Calle-Calle,http://es.dbpedia.org/resource/Calle-Calle,2014-12-02T19:00:00Z,676461.7 4613337.0,http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png,7,
