id,title,calle,motivo,tramo,desvio,observaciones,link,lastUpdated,inicio,fin,inicio_comment,fin_comment,geometry,description,icon,tipo
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1182","C/ Cereros","CALLE CEREROS ","","Entre la C/ Calatorao y la C/ Santa Inés","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-23T00:00:00Z,2009-06-23T00:00:00Z,"","","675843.078027803 4614050.57005605","<ul><li>Direcci&oacute;n: CALLE CEREROS </li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-23</li><li>Finalizaci&oacute;n: 2009-06-23</li><li>Tramo: Entre la C/ Calatorao y la C/ Santa Inés</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1195","C/ Silvestre Pérez, lado impares","CALLE SILVESTRE PEREZ","","Entre la C/ Doctor Iranzo y Monasterio de Guadalupe","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","678162.836043974 4613117.62006374","<ul><li>Direcci&oacute;n: CALLE SILVESTRE PEREZ</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Tramo: Entre la C/ Doctor Iranzo y Monasterio de Guadalupe</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1196","Avenida Compromiso de Caspe, lado pares","AVENIDA COMPROMISO DE CASPE","","Desde la C/ Florentino Ballesteros hasta la C/ Herrerín","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","677312.635971772 4612908.41006532","<ul><li>Direcci&oacute;n: AVENIDA COMPROMISO DE CASPE</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Tramo: Desde la C/ Florentino Ballesteros hasta la C/ Herrerín</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1197","C/ Florentino Ballesteros, lado impares","CALLE FLORENTINO BALLESTEROS","","Desde Compromiso de Caspe hasta la C/ Herrerín y adyacentes","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","677570.735027055 4612839.53002968","<ul><li>Direcci&oacute;n: CALLE FLORENTINO BALLESTEROS</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Tramo: Desde Compromiso de Caspe hasta la C/ Herrerín y adyacentes</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1198","C/ Victor Balaguer","Victor Balaguer","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","","<ul><li>Direcci&oacute;n: Victor Balaguer</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1199","C/ Salvatella","CALLE SALVATELLA","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","681018.689924114 4615185.92002972","<ul><li>Direcci&oacute;n: CALLE SALVATELLA</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1200","C/ Huerta Alta","CALLE HUERTA ALTA","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","680921.956032572 4615177.5300706","<ul><li>Direcci&oacute;n: CALLE HUERTA ALTA</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1201","C/ Huerta Honda","CALLE HUERTA HONDA","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","680931.374078687 4615132.34004076","<ul><li>Direcci&oacute;n: CALLE HUERTA HONDA</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1202","C/ Galán","CALLE ALCALDE GALAN GIMENEZ","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","674919.279932926 4612743.58007896","<ul><li>Direcci&oacute;n: CALLE ALCALDE GALAN GIMENEZ</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1203","C/ Coso Bajo,lado pares","CALLE COSO","","Desde la C/ Doctor Palomar hasta la C/ Arcadas y adyacentes","","Desde las 10 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","676331.331990742 4613731.91996918","<ul><li>Direcci&oacute;n: CALLE COSO</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Tramo: Desde la C/ Doctor Palomar hasta la C/ Arcadas y adyacentes</li><li>Observaciones: Desde las 10 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
