RESERVAS PERSONAS CON MOVILIDAD REDUCIDA;;;;;;
Gis_X;Gis_Y;Distrito;Barrio;Calle;Nß Finca;Nß de Plazas
439670,41;4473819,18;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;10;1
439696,99;4473782,91;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;4;1
439248,94;4473846,93;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;6;1
439222,15;4473851,67;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;3;1
439800,03;4474727,79;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;11;3
439983,26;4474312,21;01  CENTRO;01-01 PALACIO;BRINGAS, TRAVESIA, DE;Fte 5;1
439910,97;4473859,2;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;6;1
439977,49;4474389,55;01  CENTRO;01-01 PALACIO;COMANDANTE LAS MORENAS, PLAZA, DEL;1;1
439736,99;4474429,61;01  CENTRO;01-01 PALACIO;CRUZADA, CALLE, DE LA;3;2
439430,58;4473551,37;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;1
439750,39;4474844,52;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;3;1
439923,97;4474532,8;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;15;1
439872,51;4475086,93;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;6;1
439438,99;4473928,17;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;8;1
439765,45;4474354,23;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;1;1
439803,18;4475130,77;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;43;1
439538,02;4474270,98;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;81;2
439507,3;4474020,54;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;17;1
439786,65;4473887,57;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;7;1
439698,95;4474027,75;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;1;1
439488,9;4473655,38;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;15;1
439478,73;4473843,19;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;2;1
