RESERVAS PERSONAS CON MOVILIDAD REDUCIDA;;;;;;
Gis_X;Gis_Y;Distrito;Barrio;Calle;Nß Finca;Nß de Plazas
439577,87;4473805,21;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;16;1
439945,85;4474147,3;01  CENTRO;01-01 PALACIO;SAN JUSTO, CALLE, DE;1;1
439817,13;4474042,87;01  CENTRO;01-01 PALACIO;SAN PEDRO, COSTANILLA, DE;6;1
439936,85;4474910,8;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;11;1
439997,5;4474885,91;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;14;1
439632,39;4474154,76;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;24;1
439430,91;4474143,8;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;29;1
439209,95;4473924,29;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;15;1
439594,81;4473426,48;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;85;1
439322,49;4473569,17;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;55;1
439876,52;4473727,57;01  CENTRO;01-01 PALACIO;SIERPE, CALLE, DE LA;4;1
440093,3;4474902,27;01  CENTRO;01-01 PALACIO;SILVA, CALLE, DE;6A;1
439780,04;4473507,12;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;98;1
440649,91;4473369,71;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;91;1
440690,24;4473530,34;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;3;1
440990,17;4473344,08;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;14;1
440655,36;4473782,06;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;23;1
440320,76;4474102,45;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;5;1
440784,91;4473377,27;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;35;1
440843,62;4473546,39;01  CENTRO;01-02 EMBAJADORES;DOCTOR PIGA, CALLE, DEL;7;1
440169,93;4474131,27;01  CENTRO;01-02 EMBAJADORES;DUQUE DE RIVAS, CALLE, DEL;2;1
440164,05;4473730,18;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;12;2
440298,42;4473552,34;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;31;3
440692,93;4473695,72;01  CENTRO;01-02 EMBAJADORES;ESCUADRA, CALLE, DE LA;14;1
440693,73;4473727,22;01  CENTRO;01-02 EMBAJADORES;ESPERANZA, CALLE, DE;6;1
440081,47;4473983,69;01  CENTRO;01-02 EMBAJADORES;ESTUDIOS, CALLE, DE LOS;2;1
440476,83;4473825,34;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;18;1
440885,17;4473364,2;01  CENTRO;01-02 EMBAJADORES;MALLORCA, CALLE, DE;7;1
440792,46;4473595,63;01  CENTRO;01-02 EMBAJADORES;SALITRE, CALLE, DEL;31;1
440885,4;4473691,56;01  CENTRO;01-02 EMBAJADORES;SALITRE, CALLE, DEL;7;1
440515,19;4473743,44;01  CENTRO;01-02 EMBAJADORES;SAN CARLOS, CALLE, DE;1;1
440978,1;4473793,21;01  CENTRO;01-02 EMBAJADORES;SAN ILDEFONSO, CALLE, DE;7;2
440027,2;4473710,55;01  CENTRO;01-02 EMBAJADORES;SANTA ANA, CALLE, DE;9;1
440838,85;4473838,17;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;7;2
441143,05;4473594,06;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;50;1
440852,75;4473468,11;01  CENTRO;01-02 EMBAJADORES;SOMBRERERIA, CALLE, DE LA;24;1
440262,09;4473961,29;01  CENTRO;01-02 EMBAJADORES;TIRSO DE MOLINA, PLAZA, DE;13;3
440277,71;4473215,56;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;Fte 32;1
440078,64;4473265,08;01  CENTRO;01-02 EMBAJADORES;TOLEDO, RONDA, DE;5;2
440765,34;4473824,99;01  CENTRO;01-02 EMBAJADORES;TORRECILLA DEL LEAL, CALLE, DE LA;9;1
440676,83;4473438,74;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;14;1
440752,53;4473272,67;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;Fte 25;1
441123,3;4473838,5;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;5;1
440846,15;4473994,91;01  CENTRO;01-03 CORTES;AMOR DE DIOS, CALLE, DEL;10;1
440806,94;4474482,75;01  CENTRO;01-03 CORTES;ARLABAN, CALLE, DE;12;1
441140,64;4473752,83;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;109;1
440521,33;4474213,62;01  CENTRO;01-03 CORTES;ESPOZ Y MINA, CALLE, DE;40;2
441081,31;4474136,2;01  CENTRO;01-03 CORTES;JESUS, PLAZA, DE;5;1
440999,79;4474512,72;01  CENTRO;01-03 CORTES;JOVELLANOS, CALLE, DE;4;1
440780,83;4474044,29;01  CENTRO;01-03 CORTES;LEON, CALLE, DEL;28;1
440882,57;4474129,31;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;13;1
441053,23;4474115,32;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;37;2
441033,35;4474556,14;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;19;1
441045,17;4474588,21;01  CENTRO;01-03 CORTES;MARQUES DE CASA RIERA, CALLE, DEL;4;1
441067,45;4474368,31;01  CENTRO;01-03 CORTES;MARQUES DE CUBAS, CALLE, DEL;27;1
440872,78;4473960,86;01  CENTRO;01-03 CORTES;MORATIN, CALLE, DE;3;1
440913,69;4474277,22;01  CENTRO;01-03 CORTES;PRADO, CALLE, DEL;24;2
440918,33;4474174,75;01  CENTRO;01-03 CORTES;QUEVEDO, CALLE, DE;1;1
440987,77;4474258,88;01  CENTRO;01-03 CORTES;SAN AGUSTIN, CALLE, DE;5;1
441138,13;4475098,51;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;3;1
441376,06;4475089,47;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;29;1
440778,81;4475641,07;01  CENTRO;01-04 JUSTICIA;APODACA, CALLE, DE;15;2
441121,78;4475338,65;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;1;1
441196,89;4475468,15;01  CENTRO;01-04 JUSTICIA;ARGENSOLA, CALLE, DE;19;1
440883,61;4475075,54;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;31;1
441293,12;4475207,11;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;6;1
441309,68;4475201,84;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;8;1
440770,22;4475584,58;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;11;1
441091,29;4474989,36;01  CENTRO;01-04 JUSTICIA;BARQUILLO, CALLE, DEL;15;1
441096,52;4474727,89;01  CENTRO;01-04 JUSTICIA;BARQUILLO, CALLE, DEL;1;1
441003,89;4475291,55;01  CENTRO;01-04 JUSTICIA;BELEN, CALLE, DE;5;1
441126,65;4475534,4;01  CENTRO;01-04 JUSTICIA;CAMPOAMOR, CALLE, DE;16;1
440617,86;4475763,13;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;27;2
440665,97;4475595,46;01  CENTRO;01-04 JUSTICIA;CHURRUCA, CALLE, DE;5;1
440775,87;4474841,56;01  CENTRO;01-04 JUSTICIA;CLAVEL, CALLE, DEL;6;1
440568,07;4475714,59;01  CENTRO;01-04 JUSTICIA;FUENCARRAL, CALLE, DE;100;1
441255,54;4475448,86;01  CENTRO;01-04 JUSTICIA;GENERAL CASTALOS, CALLE, DEL;11;1
440775,43;4475189,21;01  CENTRO;01-04 JUSTICIA;HERNAN CORTES, CALLE, DE;19;1
440777,51;4475112,62;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;45;1
440719,55;4475010,29;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;23;1
440876,48;4474845,46;01  CENTRO;01-04 JUSTICIA;INFANTAS, CALLE, DE LAS;36;1
440981,75;4475083,09;01  CENTRO;01-04 JUSTICIA;LIBERTAD, CALLE, DE LA;35;1
441397,94;4475438,25;01  CENTRO;01-04 JUSTICIA;MARQUES DE LA ENSENADA, CALLE, DEL;3;1
441257,7;4475148,14;01  CENTRO;01-04 JUSTICIA;MARQUES DE MONASTERIO, CALLE, DEL;4;1
441030,86;4475400,43;01  CENTRO;01-04 JUSTICIA;PELAYO, CALLE, DE;84;1
440976,87;4475326,21;01  CENTRO;01-04 JUSTICIA;PELAYO, CALLE, DE;68;1
441025,17;4474944,01;01  CENTRO;01-04 JUSTICIA;SAN MARCOS, CALLE, DE;43;1
440753,25;4475318,66;01  CENTRO;01-04 JUSTICIA;SANTA BRIGIDA, CALLE, DE;10;1
441026,99;4475510,5;01  CENTRO;01-04 JUSTICIA;SANTA TERESA, CALLE, DE;2;1
440908,46;4475628,94;01  CENTRO;01-04 JUSTICIA;SERRANO ANGUITA, CALLE, DE;10;1
440808,23;4475711,47;01  CENTRO;01-04 JUSTICIA;SERRANO ANGUITA, CALLE, DE;18;1
440067,08;4475850,9;01  CENTRO;01-05 UNIVERSIDAD;ACUERDO, CALLE, DEL;37;1
439928,28;4475622,07;01  CENTRO;01-05 UNIVERSIDAD;AMANIEL, CALLE, DE;S/N;1
440053,42;4475210,92;01  CENTRO;01-05 UNIVERSIDAD;ANTONIO GRILO, CALLE, DE;8;1
439950,64;4475326,03;01  CENTRO;01-05 UNIVERSIDAD;CONDE DE TORENO, PLAZA, DEL;5;1
439768,55;4475512,31;01  CENTRO;01-05 UNIVERSIDAD;CONDE DUQUE, CALLE, DEL;5;1
440360,46;4474943,28;01  CENTRO;01-05 UNIVERSIDAD;DESENGALO, CALLE, DEL;Fte 13;1
440342,37;4474945,6;01  CENTRO;01-05 UNIVERSIDAD;DESENGALO, CALLE, DEL;Fte 13;1
440537,89;4475636,99;01  CENTRO;01-05 UNIVERSIDAD;DIVINO PASTOR, CALLE, DEL;Fte 5;1
440405,55;4475424,35;01  CENTRO;01-05 UNIVERSIDAD;ESPIRITU SANTO, CALLE, DEL;28;1
440401,53;4475340,61;01  CENTRO;01-05 UNIVERSIDAD;JESUS DEL VALLE, CALLE, DE;26;1
440419,83;4475356,08;01  CENTRO;01-05 UNIVERSIDAD;JESUS DEL VALLE, CALLE, DE;30;1
439876,7;4475429,8;01  CENTRO;01-05 UNIVERSIDAD;JUAN DE DIOS, CALLE, DE;4;1
440353,83;4475346,75;01  CENTRO;01-05 UNIVERSIDAD;MARQUES DE SANTA ANA, CALLE, DEL;20;1
440483,03;4475267,72;01  CENTRO;01-05 UNIVERSIDAD;MOLINO DE VIENTO, CALLE, DEL;21;1
440310,01;4475702,99;01  CENTRO;01-05 UNIVERSIDAD;MONTELEON, CALLE, DE;14;1
439934,2;4475702,5;01  CENTRO;01-05 UNIVERSIDAD;MONTSERRAT, CALLE, DEL;30;2
439972,71;4475700,42;01  CENTRO;01-05 UNIVERSIDAD;MONTSERRAT, CALLE, DEL;13;3
440183,99;4475712,57;01  CENTRO;01-05 UNIVERSIDAD;MONTSERRAT, CALLE, DEL;Fte 2;1
440108,77;4475527,06;01  CENTRO;01-05 UNIVERSIDAD;NORTE, CALLE, DEL;10;1
440034,48;4475451,3;01  CENTRO;01-05 UNIVERSIDAD;NOVICIADO, CALLE, DEL;5:00 AM;1
440424,12;4475520,26;01  CENTRO;01-05 UNIVERSIDAD;PALMA, CALLE, DE LA;24;2
440255,8;4475543,99;01  CENTRO;01-05 UNIVERSIDAD;PALMA, CALLE, DE LA;44;1
440087,4;4475568,17;01  CENTRO;01-05 UNIVERSIDAD;PALMA, CALLE, DE LA;58;
440301,75;4475214,45;01  CENTRO;01-05 UNIVERSIDAD;PEZ, CALLE, DEL;14;1
440237,33;4475258,95;01  CENTRO;01-05 UNIVERSIDAD;PEZ, CALLE, DEL;26;1
440427,45;4475065,58;01  CENTRO;01-05 UNIVERSIDAD;PUEBLA, CALLE, DE LA;13;1
439901,67;4475264,06;01  CENTRO;01-05 UNIVERSIDAD;REYES, CALLE, DE LOS;15;1
439976,88;4475297,81;01  CENTRO;01-05 UNIVERSIDAD;REYES, CALLE, DE LOS;7;1
440395,5;4475680,47;01  CENTRO;01-05 UNIVERSIDAD;RUIZ, CALLE, DE;5;1
440424,73;4475647,5;01  CENTRO;01-05 UNIVERSIDAD;SAN ANDRES, CALLE, DE;17;1
440149,43;4475519,55;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;64;1
440087,63;4475120,37;01  CENTRO;01-05 UNIVERSIDAD;SAN BERNARDO, CALLE, DE;20;1
440002,52;4475745,02;01  CENTRO;01-05 UNIVERSIDAD;SAN HERMENEGILDO, CALLE, DE;19;1
440095,2;4475746,2;01  CENTRO;01-05 UNIVERSIDAD;SAN HERMENEGILDO, CALLE, DE;7;1
439802,93;4475356,12;01  CENTRO;01-05 UNIVERSIDAD;SAN LEONARDO, CALLE, DE;8;1
440395,05;4475463,69;01  CENTRO;01-05 UNIVERSIDAD;SAN VICENTE FERRER, CALLE, DE;32;1
439956,79;4475795,85;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;17;1
440107,36;4475798,95;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;1;1
440274,87;4475391,92;01  CENTRO;01-05 UNIVERSIDAD;SANTA LUCIA, CALLE, DE;3;1
440312,36;4475386,67;01  CENTRO;01-05 UNIVERSIDAD;TESORO, CALLE, DEL;10;1
440328,67;4474769,44;01  CENTRO;01-06 SOL;ABADA, CALLE, DE LA;9;2
440224,72;4474483,41;01  CENTRO;01-06 SOL;ARENAL, TRAVESIA, DEL;4;1
440107,49;4474519,12;01  CENTRO;01-06 SOL;BORDADORES, CALLE, DE LOS;13;2
440443,93;4474339,27;01  CENTRO;01-06 SOL;CARRETAS, CALLE, DE LAS;8;1
440259,97;4474306,26;01  CENTRO;01-06 SOL;ESPARTEROS, CALLE, DE;13;1
439989,46;4474517,81;01  CENTRO;01-06 SOL;FUENTES, CALLE, DE LAS;8;1
440035,15;4474506,59;01  CENTRO;01-06 SOL;HILERAS, CALLE, DE LAS;8;1
439991,28;4474389,64;01  CENTRO;01-06 SOL;MAYOR, CALLE;42;1
440202,21;4474414,71;01  CENTRO;01-06 SOL;MAYOR, CALLE;11;1
440496,56;4474624,33;01  CENTRO;01-06 SOL;SAN ALBERTO, CALLE, DE;1;1
440093,7;4474732,32;01  CENTRO;01-06 SOL;VENERAS, CALLE, DE LAS;1;1
439075,48;4473328,79;02  ARGANZUELA;02-01 IMPERIAL;COBOS DE SEGOVIA, CALLE, DE;8;1
439080,32;4473294,27;02  ARGANZUELA;02-01 IMPERIAL;COBOS DE SEGOVIA, CALLE, DE;12;1
439502,89;4473011,99;02  ARGANZUELA;02-01 IMPERIAL;DOCTOR VALLEJO NAGERA, PASEO, DEL;46;2
439454,5;4473038,95;02  ARGANZUELA;02-01 IMPERIAL;DOCTOR VALLEJO NAGERA, PASEO, DEL;50;1
438945,8;4472948,66;02  ARGANZUELA;02-01 IMPERIAL;DUQUE DE TOVAR, CALLE, DEL;S/N;22
439063,58;4473273,67;02  ARGANZUELA;02-01 IMPERIAL;ETREROS, CALLE, DE;Fte 4;1
439208,21;4473625,56;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;10;1
439274,07;4473372,26;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;22;2
439437,35;4472757,93;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;52;1
439332,86;4473147,98;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;28;1
439251,66;4473458,51;02  ARGANZUELA;02-01 IMPERIAL;IMPERIAL, PASEO;20;1
439062,12;4473757,38;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;33;1
439065,83;4473856,98;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;27A;1
439049,66;4473648,22;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;42;1
439059,3;4473679,76;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;39;1
439051,13;4473681,37;02  ARGANZUELA;02-01 IMPERIAL;JUAN DUQUE, CALLE, DE;40;1
438965,37;4473719,38;02  ARGANZUELA;02-01 IMPERIAL;LINNEO, CALLE, DE;40;1
438983,88;4474085,89;02  ARGANZUELA;02-01 IMPERIAL;LINNEO, CALLE, DE;5;1
438973,68;4473761,71;02  ARGANZUELA;02-01 IMPERIAL;LINNEO, CALLE, DE;31;1
439094,29;4474035,43;02  ARGANZUELA;02-01 IMPERIAL;MANZANARES, CALLE, DEL;11;1
439130,9;4474040,12;02  ARGANZUELA;02-01 IMPERIAL;MANZANARES, CALLE, DEL;5;1
438913,14;4473206,11;02  ARGANZUELA;02-01 IMPERIAL;MARMOL, CALLE, DEL;3;1
438846,6;4473202,32;02  ARGANZUELA;02-01 IMPERIAL;MARMOL, CALLE, DEL;7;1
439064,17;4472866,3;02  ARGANZUELA;02-01 IMPERIAL;MELANCOLICOS, PASEO, DE LOS;69;1
438967,93;4473225,1;02  ARGANZUELA;02-01 IMPERIAL;MELANCOLICOS, PASEO, DE LOS;31;2
438986,19;4473092,65;02  ARGANZUELA;02-01 IMPERIAL;MELANCOLICOS, PASEO, DE LOS;49;1
439028,71;4473944,69;02  ARGANZUELA;02-01 IMPERIAL;MORENO NIETO, CALLE, DE;11;1
438954,33;4473943,04;02  ARGANZUELA;02-01 IMPERIAL;MORENO NIETO, CALLE, DE;19;1
438933,76;4473951,3;02  ARGANZUELA;02-01 IMPERIAL;MORENO NIETO, CALLE, DE;20;1
439034,87;4473258,1;02  ARGANZUELA;02-01 IMPERIAL;PARADINAS, CALLE, DE;Fte 9;2
439039,27;4473226,57;02  ARGANZUELA;02-01 IMPERIAL;PARADINAS, CALLE, DE;11;2
438923,51;4473672,9;02  ARGANZUELA;02-01 IMPERIAL;PIZARRA, CALLE, DE LA;5;1
439586,39;4473271,41;02  ARGANZUELA;02-01 IMPERIAL;PONTONES, PASEO, DE;11;1
439433,37;4473161,85;02  ARGANZUELA;02-01 IMPERIAL;PONTONES, PASEO, DE;23;1
439652,52;4473337,21;02  ARGANZUELA;02-01 IMPERIAL;PONTONES, PASEO, DE;2;1
438853,9;4473114,55;02  ARGANZUELA;02-01 IMPERIAL;SAN ALEJANDRO, CALLE, DE;Fte 12;1
439095,32;4472747,3;02  ARGANZUELA;02-01 IMPERIAL;SAN EPIFANIO, CALLE, DE;7;1
439520,89;4473182,86;02  ARGANZUELA;02-01 IMPERIAL;SANTA CASILDA, CALLE, DE;12;1
439348,17;4473535,18;02  ARGANZUELA;02-01 IMPERIAL;SEGOVIA, RONDA, DE;24;2
439225,83;4473701,62;02  ARGANZUELA;02-01 IMPERIAL;SEGOVIA, RONDA, DE;2;1
439586,31;4473020,14;02  ARGANZUELA;02-01 IMPERIAL;TOLEDO, CALLE, DE;142;1
439508,87;4472808,34;02  ARGANZUELA;02-01 IMPERIAL;TOLEDO, CALLE, DE;178;1
438935,54;4474046,76;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;13;2
438917,59;4473885,46;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;27;1
438918,55;4473739,24;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;41;3
438851,26;4472958,17;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;S/N;1
438857,63;4472972,57;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;S/N;1
438917,45;4473765,96;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;39;2
438913,24;4473669,85;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;45;2
438890,13;4473449,83;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;53;1
438849,59;4473330,13;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;S/N;1
438829,61;4473214,53;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;59;1
438964,74;4473642,69;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;S/N;2
439958,84;4472550,07;02  ARGANZUELA;02-02 ACACIAS;ARGANDA, CALLE, DE;4;2
440549,05;4472476,95;02  ARGANZUELA;02-02 ACACIAS;ARQUITECTURA, CALLE, DE LA;17;1
440542,95;4472468,49;02  ARGANZUELA;02-02 ACACIAS;ARQUITECTURA, CALLE, DE LA;26;1
440498,86;4472569,94;02  ARGANZUELA;02-02 ACACIAS;ARQUITECTURA, CALLE, DE LA;16;1
440480,93;4472584,97;02  ARGANZUELA;02-02 ACACIAS;ARQUITECTURA, CALLE, DE LA;12;1
440491,74;4472564,83;02  ARGANZUELA;02-02 ACACIAS;ARQUITECTURA, CALLE, DE LA;16;1
440554,12;4472447,42;02  ARGANZUELA;02-02 ACACIAS;ARQUITECTURA, CALLE, DE LA;30;1
440401,2;4472389,11;02  ARGANZUELA;02-02 ACACIAS;BALOS DE MONTEMAYOR, CALLE, DE;5;1
439724,06;4472638,7;02  ARGANZUELA;02-02 ACACIAS;CARMEN COBELA, CALLE, DE;Fte 22;2
439962,7;4473160,18;02  ARGANZUELA;02-02 ACACIAS;CONCEJAL BENITO MARTIN LOZANO, CALLE, DEL;12;1
439797,41;4473230,23;02  ARGANZUELA;02-02 ACACIAS;CONCEJAL BENITO MARTIN LOZANO, CALLE, DEL;1:00 AM;1
439854,12;4472885,12;02  ARGANZUELA;02-02 ACACIAS;DOCTOR VALLEJO NAGERA, PASEO, DEL;38;1
440631,23;4472904,5;02  ARGANZUELA;02-02 ACACIAS;EMBAJADORES, CALLE, DE;96;1
440691;4472802,22;02  ARGANZUELA;02-02 ACACIAS;EMBAJADORES, CALLE, DE;106;1
440543,49;4472775,36;02  ARGANZUELA;02-02 ACACIAS;ERCILLA, CALLE, DE;38;1
440601,88;4472693,09;02  ARGANZUELA;02-02 ACACIAS;ERCILLA, CALLE, DE;47;1
440593,21;4472689,86;02  ARGANZUELA;02-02 ACACIAS;ERCILLA, CALLE, DE;46;1
440645,24;4472600,37;02  ARGANZUELA;02-02 ACACIAS;ERCILLA, CALLE, DE;52;1
440497,04;4472853,37;02  ARGANZUELA;02-02 ACACIAS;ERCILLA, CALLE, DE;28;
440279,09;4472829,61;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;19;1
440225,58;4472929,42;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;9;1
440190,74;4472994,58;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;3;1
440477,14;4472410,46;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;20;1
440353,18;4472690,2;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;25;1
440041,57;4472977,38;02  ARGANZUELA;02-02 ACACIAS;GASOMETRO, CALLE, DEL;14;1
440016,29;4473185,18;02  ARGANZUELA;02-02 ACACIAS;GASOMETRO, CALLE, DEL;5;1
440246,46;4473039,03;02  ARGANZUELA;02-02 ACACIAS;LAUREL, CALLE, DEL;1;1
440523,24;4472968,91;02  ARGANZUELA;02-02 ACACIAS;MARTIN DE VARGAS, CALLE, DE;11;1
440552,66;4472918,7;02  ARGANZUELA;02-02 ACACIAS;MARTIN DE VARGAS, CALLE, DE;17;1
439779,04;4472830,04;02  ARGANZUELA;02-02 ACACIAS;MELILLA, CALLE, DE;3;1
439837,99;4472697,34;02  ARGANZUELA;02-02 ACACIAS;MELILLA, CALLE, DE;10;2
440491,87;4472981,37;02  ARGANZUELA;02-02 ACACIAS;MORATINES, CALLE, DE;10;1
440331,61;4472843,04;02  ARGANZUELA;02-02 ACACIAS;MORATINES, CALLE, DE;24;
440176,09;4472485,84;02  ARGANZUELA;02-02 ACACIAS;NAVES, CALLE, DE LAS;14;1
439768,52;4473184,06;02  ARGANZUELA;02-02 ACACIAS;OLMOS, PASEO, DE LOS;10;1
439799,33;4472977,14;02  ARGANZUELA;02-02 ACACIAS;OLMOS, PASEO, DE LOS;28;1
440114,95;4472886,92;02  ARGANZUELA;02-02 ACACIAS;PALO DE ROSA, CALLE, DEL;3;1
440525,19;4472654,34;02  ARGANZUELA;02-02 ACACIAS;PELUELAS, CALLE, DE LAS;42;1
