Marca;Modelo;Tipo;Contrase¤a de Homologaci¢n;Variante;Versi¢n;Parte Fija Vin;Combustible;Eurotaxi;Baja;N§ puertas;Cilindrada;Potencia;Tipo de Cambio;Eurotaxi2;Ecotaxi2;Plazas2
FIAT;FIAT DOBLO;263;e3*2007/46*0007;AXD1B;LS5CN;ZFA263000;DIESEL;S;;4+1;1598;77;MANUAL 6V;Eurotaxi; ;5 + 1 PMR
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;T1GA1B?X;?5??BZCASA??;WF0TXXWPGU;DIESEL;S;;4+1;1560;85;MANUAL 6V;Eurotaxi; ;6
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;T1GA1B?X;?5C?BZCBSA??;WF0TXXWPGU;DIESEL;S;;4+1;1560;85;MANUAL 5V;Eurotaxi; ;6
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;TZGA1B?X;?5??BZCASA??;WF0TXXWPGU;DIESEL;S;;4+1;1560;70;MANUAL 6V;Eurotaxi; ;6
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207;TZGA1B?X;?5C?BZCBSA??;WF0TXXWPGU;DIESEL;S;;4+1;1560;70;MANUAL 5V;Eurotaxi; ;6
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207*??;XVGA1B?X;?5??BZCBSA??;WF0TXXWPGU;DIESEL;S;;4+1;1499;74,2;MANUAL 5V;Eurotaxi; ;6
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207*??;XVGA1B?X;¨5??BZCASA??;WF0TXXWPGU;DIESEL;S;;4+1;1499;74,2;MANUAL 5V;Eurotaxi; ;6
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207*??;XWGA1B?X;?5??BZCBSA??;WF0TXXWPGU;DIESEL;S;;4+1;1499;74,2;MANUAL 5V;Eurotaxi; ;6
FORD;FORD TOURNEO CONNECT;PJ2;e1*2001/116*0207*??;XWGB1B?X;?5??BZCBSA??;WF0TXXWPGU;DIESEL;S;;4+1;1499;88,2;AUTOMµTICO 6V;Eurotaxi; ;6
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207;T1GA1C?X;?5??BZCASA??;WF0TXXWPGU;DIESEL;S;;4+1;1560;85;MANUAL 6V;Eurotaxi; ;6
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207;T1GA1C?X;?5C?BZCBSA??;WF0TXXWPGU;DIESEL;S;;4+1;1560;85;MANUAL 5V;Eurotaxi; ;6
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207;TZGA1C?X;?5??BZCASA??;WF0TXXWPGU;DIESEL;S;;4+1;1560;70;MANUAL 6V;Eurotaxi; ;6
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207;TZGA1C?X;?5C?BZCBSA??;WF0TXXWPGU;DIESEL;S;;4+1;1560;70;MANUAL 5V;Eurotaxi; ;6
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207*??;XVGA1C?X;?5??BZCASA??;WF0TXXWPGU;DIESEL;S;;4+1;1499;74,2;MANUAL 5V;Eurotaxi; ;6
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207*??;XVGA1C?X;?5??BZCBSA??;WF0TXXWPGU;DIESEL;S;;4+1;1499;74,2;MANUAL 5V;Eurotaxi; ;6
FORD;FORD TRANSIT CONNECT;PJ2;e1*2001/116*0207*??;XWGA1C?X;?5??BZCBSA??;WF0TXXWPGU;DIESEL;S;;4+1;1499;88,2;MANUAL 6V;Eurotaxi; ;6
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;KXXXX500;WDD212006;DIESEL;N;;4;2143;100;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;KXXXX501;WDD212006;DIESEL;N;;4;2143;100;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;KXXXX5A0;WDD212006;DIESEL;N;;4;2143;100;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;KXXXX5A1;WDD212006;DIESEL;N;;4;2143;100;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;N????502;WDD212006;DIESEL;N;;4;2143;100;AUTOMµTICO 7V; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;N????5A2;WDD212006;DIESEL;N;;4;2143;100;AUTOMµTICO 7V; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;NXXXX500;WDD212006;DIESEL;N;;4;2143;100;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;NXXXX501;WDD212006;DIESEL;N;;4;2143;100;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;NXXXX5A0;WDD212006;DIESEL;N;;4;2143;100;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212;e1*2001/116*0501;J00XP0;NXXXX5A1;WDD212006;DIESEL;N;;4;2143;100;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212K;e1*2007/46*0200;J20XP0;KXXXX500;WDD212206;DIESEL;N;;4+1;2143;100;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212K;e1*2007/46*0200;J20XP0;KXXXX501;WDD212206;DIESEL;N;;4+1;2143;100;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212K;e1*2007/46*0200;J20XP0;NXXXX500;WDD212206;DIESEL;N;;4+1;2143;100;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212K;e1*2007/46*0200;J20XP0;NXXXX501;WDD212206;DIESEL;N;;4+1;2143;100;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 200 BLUETEC;212K;e1*2007/46*0200;J20XP0;NXXXX502;WDD212206;DIESEL;N;;4+1;2143;100;AUTOMµTICO 7V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;C????56X;WDD212001;DIESEL;N;;4;2143;125;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;C????5K2;WDD212001;DIESEL;N;;4;2143;125;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;C????5KX;WDD212001;DIESEL;N;;4;2143;125;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;CXXXX502;WDD212001;DIESEL;N;;4;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;CXXXX503;WDD212001;DIESEL;N;;4;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;CXXXX560;WDD212001;DIESEL;N;;4;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;CXXXX5K1;WDD212001;DIESEL;N;;4;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;KXXXX502;WDD212001;DIESEL;N;;4;2143;125;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;KXXXX503;WDD212001;DIESEL;N;;4;2143;125;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;KXXXX560;WDD212001;DIESEL;N;;4;2143;125;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;KXXXX5K1;WDD212001;DIESEL;N;;4;2143;125;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;NXXXX502;WDD212001;DIESEL;N;;5;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;NXXXX503;WDD212001;DIESEL;N;;5;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;NXXXX560;WDD212001;DIESEL;N;;5;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;NXXXX5K1;WDD212001;DIESEL;N;;5;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;NXXXX5K2;WDD212001;DIESEL;N;;5;1795;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212;e1*2001/116*0501;J00RP0;NXXXX5K3;WDD212001;DIESEL;N;;5;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212K;e1*2007/46*0200;J20RP0;CXXXX500;WDD212201;DIESEL;N;;5;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212K;e1*2007/46*0200;J20RP0;CXXXX501;WDD212201;DIESEL;N;;5;2143;125;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212K;e1*2007/46*0200;J20RP0;CXXXX502;WDD212201;DIESEL;N;;5;2143;125;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 220 BLUETEC;212K;e1*2007/46*0200;J20RP0;CXXXX5K2;WDD212201;DIESEL;N;;5;2143;125;AUTOMµTICO 9V; ;Ecotaxi;5
