"Año","Comunidad autónoma","Provincia","Número de órdenes de protección"
"Año 2011","Andalucía","Sevilla","1783.0"
"Año 2011","Aragón","Huesca","98.0"
"Año 2011","Aragón","Teruel","68.0"
"Año 2011","Aragón","Zaragoza","543.0"
"Año 2011","Principado de Asturias","Asturias","769.0"
"Año 2011","Islas Baleares","Islas Baleares","831.0"
"Año 2011","Canarias","Las Palmas","1313.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","1165.0"
"Año 2011","Cantabria","Cantabria","303.0"
"Año 2011","Castilla y León","Ávila","152.0"
"Año 2011","Castilla y León","Burgos","268.0"
"Año 2011","Castilla y León","León","388.0"
"Año 2011","Castilla y León","Palencia","93.0"
"Año 2011","Castilla y León","Salamanca","76.0"
"Año 2011","Castilla y León","Segovia","81.0"
"Año 2011","Castilla y León","Soria","86.0"
"Año 2011","Castilla y León","Valladolid","353.0"
"Año 2011","Castilla y León","Zamora","76.0"
"Año 2011","Castilla - La Mancha","Albacete","339.0"
"Año 2011","Castilla - La Mancha","Ciudad Real","395.0"
"Año 2011","Castilla - La Mancha","Cuenca","150.0"
"Año 2011","Castilla - La Mancha","Guadalajara","228.0"
"Año 2011","Castilla - La Mancha","Toledo","666.0"
"Año 2011","Cataluña","Barcelona","3909.0"
"Año 2011","Cataluña","Girona","844.0"
"Año 2011","Cataluña","Lleida","253.0"
"Año 2011","Cataluña","Tarragona","876.0"
"Año 2011","Comunidad Valenciana","Alicante","2462.0"
"Año 2011","Comunidad Valenciana","Castellón","504.0"
"Año 2011","Comunidad Valenciana","Valencia","1745.0"
"Año 2011","Extremadura","Badajoz","542.0"
"Año 2011","Extremadura","Cáceres","229.0"
"Año 2011","Galicia","A Coruña","397.0"
"Año 2011","Galicia","Lugo","193.0"
"Año 2011","Galicia","Ourense","191.0"
"Año 2011","Galicia","Pontevedra","468.0"
"Año 2011","Comunidad de Madrid","Madrid","5724.0"
"Año 2011","Región de Murcia","Murcia","1633.0"
"Año 2011","Comunidad Foral de Navarra","Navarra","286.0"
"Año 2011","País Vasco","Álava","244.0"
"Año 2011","País Vasco","Guipúzcoa","340.0"
"Año 2011","País Vasco","Vizcaya","369.0"
"Año 2011","La Rioja","La Rioja","256.0"
"Año 2011","Ceuta","Ceuta","93.0"
"Año 2011","Melilla","Melilla","2.0"
"Año 2012","Andalucía","Almería","333.0"
"Año 2012","Andalucía","Cádiz","1205.0"
"Año 2012","Andalucía","Córdoba","412.0"
"Año 2012","Andalucía","Granada","378.0"
"Año 2012","Andalucía","Huelva","468.0"
"Año 2012","Andalucía","Jaén","414.0"
"Año 2012","Andalucía","Málaga","1097.0"
"Año 2012","Andalucía","Sevilla","1784.0"
"Año 2012","Aragón","Huesca","78.0"
"Año 2012","Aragón","Teruel","55.0"
"Año 2012","Aragón","Zaragoza","495.0"
"Año 2012","Principado de Asturias","Asturias","779.0"
"Año 2012","Islas Baleares","Islas Baleares","830.0"
"Año 2012","Canarias","Las Palmas","1156.0"
"Año 2012","Canarias","Santa Cruz de Tenerife","1204.0"
"Año 2012","Cantabria","Cantabria","319.0"
"Año 2012","Castilla y León","Ávila","135.0"
"Año 2012","Castilla y León","Burgos","195.0"
"Año 2012","Castilla y León","León","387.0"
"Año 2012","Castilla y León","Palencia","70.0"
"Año 2012","Castilla y León","Salamanca","55.0"
"Año 2012","Castilla y León","Segovia","76.0"
"Año 2012","Castilla y León","Soria","53.0"
"Año 2012","Castilla y León","Valladolid","400.0"
"Año 2012","Castilla y León","Zamora","74.0"
"Año 2012","Castilla - La Mancha","Albacete","262.0"
"Año 2012","Castilla - La Mancha","Ciudad Real","392.0"
"Año 2012","Castilla - La Mancha","Cuenca","247.0"
"Año 2012","Castilla - La Mancha","Guadalajara","262.0"
"Año 2012","Castilla - La Mancha","Toledo","488.0"
"Año 2012","Cataluña","Barcelona","4038.0"
"Año 2012","Cataluña","Girona","837.0"
"Año 2012","Cataluña","Lleida","245.0"
"Año 2012","Cataluña","Tarragona","861.0"
"Año 2012","Comunidad Valenciana","Alicante","2067.0"
"Año 2012","Comunidad Valenciana","Castellón","465.0"
"Año 2012","Comunidad Valenciana","Valencia","1672.0"
"Año 2012","Extremadura","Badajoz","484.0"
"Año 2012","Extremadura","Cáceres","295.0"
"Año 2012","Galicia","A Coruña","359.0"
"Año 2012","Galicia","Lugo","190.0"
"Año 2012","Galicia","Ourense","313.0"
"Año 2012","Galicia","Pontevedra","581.0"
"Año 2012","Comunidad de Madrid","Madrid","5451.0"
"Año 2012","Región de Murcia","Murcia","1149.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","257.0"
"Año 2012","País Vasco","Álava","138.0"
"Año 2012","País Vasco","Guipúzcoa","270.0"
"Año 2012","País Vasco","Vizcaya","400.0"
"Año 2012","La Rioja","La Rioja","257.0"
"Año 2012","Ceuta","Ceuta","100.0"
"Año 2012","Melilla","Melilla","5.0"
"Año 2013","Andalucía","Almería","477.0"
"Año 2013","Andalucía","Cádiz","948.0"
"Año 2013","Andalucía","Córdoba","455.0"
"Año 2013","Andalucía","Granada","333.0"
"Año 2013","Andalucía","Huelva","406.0"
"Año 2013","Andalucía","Jaén","324.0"
"Año 2013","Andalucía","Málaga","1064.0"
"Año 2013","Andalucía","Sevilla","1888.0"
"Año 2013","Aragón","Huesca","84.0"
"Año 2013","Aragón","Teruel","40.0"
"Año 2013","Aragón","Zaragoza","493.0"
"Año 2013","Principado de Asturias","Asturias","705.0"
"Año 2013","Islas Baleares","Islas Baleares","707.0"
"Año 2013","Canarias","Las Palmas","1093.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","1125.0"
"Año 2013","Cantabria","Cantabria","329.0"
"Año 2013","Castilla y León","Ávila","112.0"
"Año 2013","Castilla y León","Burgos","173.0"
"Año 2013","Castilla y León","León","231.0"
"Año 2013","Castilla y León","Palencia","90.0"
"Año 2013","Castilla y León","Salamanca","84.0"
"Año 2013","Castilla y León","Segovia","80.0"
"Año 2013","Castilla y León","Soria","57.0"
"Año 2013","Castilla y León","Valladolid","379.0"
"Año 2013","Castilla y León","Zamora","46.0"
"Año 2013","Castilla - La Mancha","Albacete","341.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","448.0"
"Año 2013","Castilla - La Mancha","Cuenca","247.0"
"Año 2013","Castilla - La Mancha","Guadalajara","278.0"
"Año 2013","Castilla - La Mancha","Toledo","402.0"
"Año 2013","Cataluña","Barcelona","3671.0"
"Año 2013","Cataluña","Girona","822.0"
"Año 2013","Cataluña","Lleida","223.0"
"Año 2013","Cataluña","Tarragona","687.0"
"Año 2013","Comunidad Valenciana","Alicante","1946.0"
"Año 2013","Comunidad Valenciana","Castellón","375.0"
"Año 2013","Comunidad Valenciana","Valencia","1735.0"
"Año 2013","Extremadura","Badajoz","500.0"
"Año 2013","Extremadura","Cáceres","261.0"
"Año 2013","Galicia","A Coruña","414.0"
"Año 2013","Galicia","Lugo","202.0"
"Año 2013","Galicia","Ourense","325.0"
"Año 2013","Galicia","Pontevedra","549.0"
"Año 2013","Comunidad de Madrid","Madrid","5109.0"
"Año 2013","Región de Murcia","Murcia","1166.0"
"Año 2013","Comunidad Foral de Navarra","Navarra","307.0"
"Año 2013","País Vasco","Álava","157.0"
"Año 2013","País Vasco","Guipúzcoa","268.0"
"Año 2013","País Vasco","Vizcaya","414.0"
"Año 2013","La Rioja","La Rioja","162.0"
"Año 2013","Ceuta","Ceuta","88.0"
"Año 2013","Melilla","Melilla","11.0"
"Año 2014","Andalucía","Almería","641.0"
"Año 2014","Andalucía","Cádiz","957.0"
"Año 2014","Andalucía","Córdoba","472.0"
"Año 2014","Andalucía","Granada","415.0"
"Año 2014","Andalucía","Huelva","478.0"
"Año 2014","Andalucía","Jaén","347.0"
"Año 2014","Andalucía","Málaga","1121.0"
"Año 2014","Andalucía","Sevilla","1849.0"
"Año 2014","Aragón","Huesca","117.0"
"Año 2014","Aragón","Teruel","41.0"
"Año 2014","Aragón","Zaragoza","564.0"
"Año 2014","Principado de Asturias","Asturias","773.0"
"Año 2014","Islas Baleares","Islas Baleares","567.0"
"Año 2014","Canarias","Las Palmas","1126.0"
"Año 2014","Canarias","Santa Cruz de Tenerife","1071.0"
"Año 2014","Cantabria","Cantabria","380.0"
"Año 2014","Castilla y León","Ávila","122.0"
"Año 2014","Castilla y León","Burgos","188.0"
"Año 2014","Castilla y León","León","175.0"
"Año 2014","Castilla y León","Palencia","101.0"
"Año 2014","Castilla y León","Salamanca","113.0"
"Año 2014","Castilla y León","Segovia","75.0"
"Año 2014","Castilla y León","Soria","73.0"
"Año 2014","Castilla y León","Valladolid","442.0"
"Año 2014","Castilla y León","Zamora","65.0"
"Año 2014","Castilla - La Mancha","Albacete","332.0"
"Año 2014","Castilla - La Mancha","Ciudad Real","478.0"
"Año 2014","Castilla - La Mancha","Cuenca","157.0"
"Año 2014","Castilla - La Mancha","Guadalajara","192.0"
"Año 2014","Castilla - La Mancha","Toledo","422.0"
"Año 2014","Cataluña","Barcelona","3551.0"
"Año 2014","Cataluña","Girona","775.0"
"Año 2014","Cataluña","Lleida","261.0"
"Año 2014","Cataluña","Tarragona","755.0"
"Año 2014","Comunidad Valenciana","Alicante","1791.0"
"Año 2014","Comunidad Valenciana","Castellón","465.0"
"Año 2014","Comunidad Valenciana","Valencia","1812.0"
"Año 2014","Extremadura","Badajoz","482.0"
