"Año","Comunidad autónoma","Provincia","Tramo de edad Víctima","Pareja - Expareja","Número de víctimas mortales"
"Año 2015","Andalucía","Málaga","51-64 años","Pareja","1.0"
"Año 2015","Andalucía","Sevilla","41-50 años","Pareja","1.0"
"Año 2015","Principado de Asturias","Asturias","65-74 años","Pareja","1.0"
"Año 2015","Islas Baleares","Islas Baleares","31-40 años","Expareja","1.0"
"Año 2015","Canarias","Santa Cruz de Tenerife","21-30 años","Expareja","1.0"
"Año 2015","Cantabria","Cantabria","31-40 años","Pareja","1.0"
"Año 2015","Castilla y León","Palencia","31-40 años","Pareja","1.0"
"Año 2015","Castilla y León","Soria","31-40 años","Pareja","1.0"
"Año 2015","Castilla - La Mancha","Cuenca","21-30 años","Expareja","1.0"
"Año 2015","Cataluña","Barcelona","31-40 años","Pareja","2.0"
"Año 2015","Cataluña","Barcelona","41-50 años","Pareja","3.0"
"Año 2015","Cataluña","Lleida","21-30 años","Pareja","1.0"
"Año 2015","Comunidad Valenciana","Alicante","41-50 años","Expareja","1.0"
"Año 2015","Comunidad Valenciana","Alicante","41-50 años","Pareja","1.0"
"Año 2015","Comunidad Valenciana","Alicante","65-74 años","Pareja","2.0"
"Año 2015","Comunidad Valenciana","Valencia","31-40 años","Expareja","1.0"
"Año 2015","Comunidad Valenciana","Valencia","41-50 años","Pareja","1.0"
"Año 2015","Extremadura","Cáceres","21-30 años","Pareja","1.0"
"Año 2015","Galicia","Ourense","65-74 años","Pareja","1.0"
"Año 2015","Galicia","Pontevedra","21-30 años","Expareja","1.0"
"Año 2015","Galicia","Pontevedra","31-40 años","Pareja","1.0"
"Año 2015","Galicia","Pontevedra","41-50 años","Pareja","1.0"
"Año 2015","Comunidad de Madrid","Madrid","21-30 años","Expareja","1.0"
"Año 2015","Comunidad de Madrid","Madrid","41-50 años","Pareja","1.0"
"Año 2015","Región de Murcia","Murcia","21-30 años","Pareja","1.0"
"Año 2015","País Vasco","Álava","21-30 años","Pareja","1.0"
"Año 2015","País Vasco","Vizcaya","31-40 años","Pareja","1.0"
"Año 2015","No consta","No consta","No consta","No consta","0.0"
