DIA_INICIO;DIA_FINAL;SECCION_ANOMALIA;RECEPCIONADAS;ABIERTAS;CERRADAS;ABIERTAS_SIN_ACTUAR;ACTUADAS_NO_CERRADAS;ACTUADAS_Y_CERRADAS;VISADAS_NO_ACTUADAS;CERRADAS_POR_CANCELACION;TRASLADOS_INTERNOS
01/08/2015;16/08/2015;BICICLETA PUBLICA;6.957;1.252;5.705;49;1.203;5.705;9;0;0
01/08/2015;16/08/2015;SEÑALIZACION ;35;27;8;24;3;8;1;0;0
01/08/2015;16/08/2015;SER;915;783;132;150;633;131;102;1;0
01/08/2015;16/08/2015;TOTAL;7.907;2.062;5.845;223;1.839;5.844;112;1;0
17/08/2015;23/08/2015;BICICLETA PUBLICA;2.888;1.632;1.256;28;1.604;1.256;4;0;0
17/08/2015;23/08/2015;SEÑALIZACION ;17;14;3;14;0;3;0;0;0
17/08/2015;23/08/2015;SER;564;440;124;154;286;124;56;0;0
17/08/2015;23/08/2015;TOTAL;3.469;2.086;1.383;196;1.890;1.383;60;0;0
24/08/2015;30/08/2015;BICICLETA PUBLICA;3.629;168;3.461;107;61;3.461;42;0;0
24/08/2015;30/08/2015;SEÑALIZACION ;49;39;10;39;0;10;1;0;6
24/08/2015;30/08/2015;SER;515;507;8;162;345;8;41;0;0
24/08/2015;30/08/2015;TOTAL;4.193;714;3.479;308;406;3.479;84;0;6
31/08/2015;06/09/2015;BICICLETA PUBLICA;4.211;1.953;2.258;185;1.768;2.258;31;0;1
31/08/2015;06/09/2015;SEÑALIZACION ;64;58;6;56;2;6;3;0;0
31/08/2015;06/09/2015;SER;926;921;5;299;622;5;127;0;0
31/08/2015;06/09/2015;TOTAL;5.201;2.932;2.269;540;2.392;2.269;161;0;1
07/09/2015;13/09/2015;BICICLETA PUBLICA;4.872;3.617;1.255;1.306;2.311;1.255;35;0;1
07/09/2015;13/09/2015;SEÑALIZACION ;100;96;4;96;0;4;4;0;3
07/09/2015;13/09/2015;SER;853;849;4;170;679;4;95;0;0
07/09/2015;13/09/2015;TOTAL;5.825;4.562;1.263;1.572;2.990;1.263;134;0;4
14/09/2015;20/09/2015;BICICLETA PUBLICA;4.525;2.764;1.761;1.323;1.441;1.761;65;0;1
14/09/2015;20/09/2015;SEÑALIZACION ;83;74;9;74;0;8;1;1;2
14/09/2015;20/09/2015;SER;1.005;997;8;222;775;8;98;0;1
14/09/2015;20/09/2015;TOTAL;5.613;3.835;1.778;1.619;2.216;1.777;164;1;4
21/09/2015;27/09/2015;BICICLETA PUBLICA;4.941;4.015;926;2.018;1.997;926;36;0;0
21/09/2015;27/09/2015;SEÑALIZACION ;77;65;12;65;0;12;1;0;3
21/09/2015;27/09/2015;SER;1.003;985;18;224;761;18;95;0;1
21/09/2015;27/09/2015;TOTAL;6.021;5.065;956;2.307;2.758;956;132;0;4
28/09/2015;04/01/2015;BICICLETA PUBLICA;4.201;2.360;1.841;963;1.397;1.841;16;0;0
28/09/2015;04/01/2015;SEÑALIZACION ;82;71;11;70;1;10;4;1;4
28/09/2015;04/01/2015;SER;926;852;74;194;658;74;114;0;0
28/09/2015;04/01/2015;TOTAL;5.209;3.283;1.926;1.227;2.056;1.925;134;1;4
