"Provincia","Tramo de edad Víctima","Número de víctimas mortales"
"Madrid","16-17 años","1.0"
"Madrid","18-20 años","4.0"
"Madrid","21-30 años","19.0"
"Madrid","31-40 años","26.0"
"Madrid","41-50 años","16.0"
"Madrid","51-64 años","6.0"
"Madrid","65-74 años","9.0"
"Madrid","75-84 años","2.0"
"Madrid","No consta","1.0"
