"Año","Partido Judicial","Número de órdenes de protección"
"Año 2009","MADRID","3596.0"
"Año 2010","MADRID","3392.0"
"Año 2011","MADRID","3199.0"
"Año 2012","MADRID","3140.0"
"Año 2013","MADRID","2950.0"
"Año 2014","MADRID","3028.0"
"Año 2015","MADRID","645.0"
