"Provincia","Año","Número de víctimas mortales"
"Madrid","Año 2003","5.0"
"Madrid","Año 2004","5.0"
"Madrid","Año 2005","4.0"
"Madrid","Año 2006","5.0"
"Madrid","Año 2007","9.0"
"Madrid","Año 2008","11.0"
"Madrid","Año 2009","5.0"
"Madrid","Año 2010","7.0"
"Madrid","Año 2011","9.0"
"Madrid","Año 2012","6.0"
"Madrid","Año 2013","9.0"
"Madrid","Año 2014","7.0"
"Madrid","Año 2015","2.0"
