"Partido Judicial","Origen de la denuncia","Número de denuncias por violencia de género"
"MADRID","Presentada directamente por victima","8332.0"
"MADRID","Presentada directamente por familiares","118.0"
"MADRID","Atestados policiales - con denuncia victima","43467.0"
"MADRID","Atestados policiales - con denuncia familiar","466.0"
"MADRID","Atestados policiales - por intervención directa policial","13208.0"
"MADRID","Parte de lesiones","2583.0"
"MADRID","Servicios asistencia-Terceros  en general","265.0"
