"Provincia","Tramo de edad Agresor","Número de víctimas mortales"
"Madrid","18-20 años","2.0"
"Madrid","21-30 años","11.0"
"Madrid","31-40 años","32.0"
"Madrid","41-50 años","17.0"
"Madrid","51-64 años","8.0"
"Madrid","65-74 años","6.0"
"Madrid","75-84 años","4.0"
"Madrid",">85 años","1.0"
"Madrid","No consta","3.0"
