"Partido Judicial","Año","Número de denuncias por violencia de género"
"MADRID","Año 2009","11796.0"
"MADRID","Año 2010","12138.0"
"MADRID","Año 2011","11227.0"
"MADRID","Año 2012","10790.0"
"MADRID","Año 2013","9999.0"
"MADRID","Año 2014","10217.0"
"MADRID","Año 2015","2272.0"
