"Partido Judicial","Instancia","Número de órdenes de protección"
"MADRID","A instancia de la víctima","19504.0"
"MADRID","A instancia de otras personas","75.0"
"MADRID","A instancia del Minist. Fiscal","305.0"
"MADRID","De oficio","65.0"
"MADRID","A instancia de la Administración","1.0"
